,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-03-27,9556216.0,855.0,0.0,0.0,0.0,0.0,0.0,855.0,855.0
2020-03-28,9556216.0,2.9738386601727598,0.0,852.0261613398272,852.0261613398272,0.0,0.0,855.0,855.0
2020-03-29,9556014.638071215,201.37227231306306,201.36192878513705,853.4395212590699,2.9634951322467504,1.5501352130040822,1.5501352130040822,1054.811793572133,1056.361928785137
2020-03-30,9555812.946368787,202.39211020405256,201.6917024280392,1052.558679184397,200.67186453704971,3.1028418247267453,1.5527066117226633,1254.9507893884497,1258.0536312131765
2020-03-31,9555564.202473145,249.44785059188368,248.74389564236466,1252.3318600562297,201.68815525453354,5.0178162074277015,1.914974382700956,1501.7797106481135,1506.7975268555413
2020-04-01,9555268.255270516,296.81482562404904,295.9472026278068,1498.633655600457,248.58022759564142,7.296248258841894,2.2784320514141925,1795.448481224506,1802.7447294833478
2020-04-02,9554914.113755753,355.1738883344196,354.1415147632462,1791.6895660207538,295.78245205287567,10.022789891420647,2.726541632578753,2146.8634543551734,2156.8862442465943
2020-04-03,9554490.73600898,424.61310331282124,423.3777467745607,2142.368384426548,353.93853179615905,13.282503281785704,3.2597133903650564,2566.981487739369,2580.263991021155
2020-04-04,9553984.514994994,507.69789218725265,506.2210139857935,2561.6068880563253,423.1362251113621,17.180224763370244,3.8977214815845387,3069.304780243578,3086.4850050069485
2020-04-05,9553379.26403012,607.0168264173624,605.2509648741172,3062.8784549502457,505.93203064400745,21.840688513457096,4.660463750086851,3669.895281367608,3691.735969881065
2020-04-06,9552655.619544016,725.7557961681836,723.6444861029493,3662.211518293767,604.9055163521281,27.413141522064002,5.572453008606906,4387.96731446195,4415.380455984014
2020-04-07,9551790.440442152,867.7034067103874,865.1791018630314,4378.7801590008885,723.2314913208276,34.075992135769624,6.66285061370562,5246.483565711276,5280.559557847046
2020-04-08,9550756.069284117,1037.3891813528555,1034.3711580353831,5235.499001432436,864.685383392915,42.04253309713764,7.966540961368021,6272.888182785291,6314.930715882429
