,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-04-12,3272462.0,765.0,0.0,0.0,0.0,0.0,0.0,765.0,765.0
2020-04-13,3272462.0,4.704100687341224,0.0,760.2958993126588,760.2958993126588,0.0,0.0,765.0,765.0
2020-04-14,3272178.3693523556,283.659573871056,283.6306476445506,563.3640733205664,4.675174460835807,201.60700045292825,201.60700045292825,847.0236471916223,1048.6306476445507
2020-04-15,3271968.222923784,211.8906941875572,210.1464285713248,695.8926216470745,281.91530825482363,350.99376038124376,149.38675992831554,907.7833158346317,1258.7770762158755
2020-04-16,3271708.6572819133,260.8685897926797,259.56564187089026,721.9511284227625,210.58774626576778,535.5229998713235,184.52923949007976,982.8197182154422,1518.3427180867657
2020-04-17,3271439.3932658085,270.8681365135809,269.2640161050195,789.7764468046145,259.2644693841183,726.9621508735897,191.4391510022663,1060.6445833181954,1787.606734191785
2020-04-18,3271144.8568802,296.20199474211717,294.5363856085846,849.554642667689,269.20252738004837,936.3864823905635,209.42433151697378,1145.7566374098062,2082.1431198003697
2020-04-19,3270828.0555544063,318.6227166528421,316.8013257939424,918.6595829784299,294.3806038832175,1161.66214596304,225.27566357247662,1237.282299631272,2398.944445594312
2020-04-20,3270485.5179782147,344.49683545997254,342.5375761914638,991.7228800448454,316.66345738433336,1405.262306280958,243.6001603179178,1336.219715504818,2741.482021785776
2020-04-21,3270115.7762561035,371.8600852488393,369.7417221109646,1071.1270612953572,342.3784723220978,1668.236597352544,262.9742910715861,1442.9871465441965,3111.2237438967404
2020-04-22,3269716.4756064634,401.58727353918914,399.3006496403475,1156.6706940918375,369.5734613499977,1952.2664259060614,284.02982855351735,1558.2579676310265,3510.524393537088
2020-04-23,3269285.3381807795,433.606846558837,431.13742568369554,1249.0751877091263,399.1178526640477,2258.9797849528204,306.71335904675885,1682.6820342679634,3941.661819220784
2020-04-24,3268819.8192952136,468.18519963774844,465.5188855659402,1348.7995421766843,430.94053248702875,2590.1959629722915,331.2161780194708,1816.9847418144327,4407.180704786724
2020-04-25,3268317.2056340156,505.4926027917376,502.61366119772595,1456.4458021113182,465.30625804373676,2947.8559610813945,357.65999810910284,1961.938404903056,4909.79436598445
