,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-03-22,11433147.0,810.0,0.0,0.0,0.0,0.0,0.0,810.0,810.0
2020-03-23,11433147.0,0.28555955318688575,0.0,809.7144404468131,809.7144404468131,0.0,0.0,810.0,810.0
2020-03-24,11432981.838350441,165.1617502307556,165.1616495588316,809.9178541721606,0.285458881262915,0.08204515591544356,0.08204515591544356,975.0796044029162,975.1616495588316
2020-03-25,11432816.637596034,165.25898097117835,165.20075440870988,974.9393120734254,165.10352366828712,0.1641109229376895,0.08206576702224594,1140.1982930446038,1140.3624039675415
2020-03-26,11432617.779919563,198.91593731034203,198.85767646988987,1140.0412454666655,165.20072013072618,0.2628976604238337,0.09878673748614421,1338.9571827770076,1339.2200804374313
2020-03-27,11432385.250564026,232.59948189008938,232.52935553678063,1338.771540561486,198.84581095703328,0.37841352263660966,0.11551586221277595,1571.3710224515755,1571.7494359742122
2020-03-28,11432112.192590788,273.1399744782833,273.05797323862896,1571.1533687963363,232.517480650435,0.5140659382214354,0.13565241558482571,1844.2933432746195,1844.8074092128409
2020-03-29,11431791.74530411,320.5435801710752,320.4472866783968,1844.037851036469,273.0436809856049,0.6732646836937747,0.15919874547233928,2164.581431207544,2165.2546958912376
2020-03-30,11431415.651936037,376.2063733574155,376.09336807157524,2164.2815768728974,320.43057488523493,0.8601137325001416,0.18684904880636682,2540.487950230313,2541.348063962813
2020-03-31,11430974.259060906,441.5255039262863,441.39287513137026,2540.1360233587548,376.0737445624994,1.0794118091424127,0.21929807664227116,2981.6615272850413,2982.740939094184
2020-04-01,11430456.232819514,518.1818979664602,518.0262413916184,2981.2484887917444,441.36984735144455,1.3367937275973958,0.257381918454983,3499.430386758205,3500.7671804858023
2020-04-02,11429848.275234593,608.1402661441671,607.9575849203981,3498.94562743768,517.9992167426911,1.6388718243528726,0.3020780967554768,4107.085893581847,4108.724765406199
2020-04-03,11429134.78308512,713.7065448581086,713.49214947209,4106.5169638992875,607.9258707581484,1.9934061208937288,0.3545342965408563,4820.223508757396,4822.2169148782905
2020-04-04,11428297.449491438,837.5852056851077,837.333593682569,4819.555799662176,713.45493285557,2.4095032135757037,0.4160970926819748,5657.141005347283,5659.550508560858
2020-04-05,11427314.796709422,982.9480665298137,982.652782014886,5656.357374339723,837.28992117018,2.897849706208667,0.48834649263296315,6639.305440869536,6642.203290575745
2020-04-06,11426161.62873696,1153.5145035857854,1153.167972461484,6638.385773464703,982.6015354055122,3.470985986741205,0.5731362805325378,7791.9002770504885,7795.37126303723
2020-04-07,11424808.390098128,1353.645301900988,1353.2386388315576,7790.820972653937,1153.107840516355,4.143627313861701,0.6726413271204957,9144.466274554925,9148.609901868787
2020-04-08,11423220.414993297,1588.4523225434523,1587.9751048303851,9143.199643822303,1353.1680841879208,4.933040333417064,0.7894130195553631,10731.651966365756,10736.585006699173
2020-04-09,11421357.04842489,1863.9265656107846,1863.366568406483,10730.165524969685,1587.8923253391508,5.859484525186056,0.9264441917689915,12594.09209058047,12599.951575105657
2020-04-10,11419170.617961444,2187.0875770721423,2186.430463445909,12592.347731797772,1863.269451984551,6.9467296816499315,1.087245156463876,14779.435308869914,14786.382038551563
2020-04-11,11416605.23143319,2566.157569922187,2565.3865282539286,14777.388334500707,2186.316535403884,8.22266238259908,1.2759327009491481,17343.545904422896,17351.768566805495
2020-04-12,11413595.372023772,3010.764089428229,3009.859409417026,17341.143890204265,2565.2528899109843,9.719996590024278,1.497334207425199,20351.907979632495,20361.62797622252
2020-04-13,11410064.257901326,3532.1755452217726,3531.1141224463054,20349.08944745752,3009.7026666527618,11.477105989529184,1.7571093995049056,23881.264992679295,23892.742098668823
2020-04-14,11405921.928695928,4143.5744479531095,4142.329205396973,23877.95785751873,3530.9303026656353,13.538998593954862,2.061892604425678,28021.53230547184,28035.071304065794
2020-04-15,11401063.015776655,4860.373706024064,4858.912919273503,28017.65205986331,4142.113661202548,15.958457451921467,2.419458857966605,32878.025765887374,32893.9842233393
2020-04-16,11395364.14743794,5700.581827780794,5698.868338714357,32873.47335915218,4858.660216957627,18.79737512068339,2.8389176687619257,38574.05518693297,38592.85256205365
2020-04-17,11388680.933846708,6685.223289503079,6683.213591231911,38568.714549861026,5698.5721295096255,22.128313921460506,3.330938800777116,45253.93783936411,45276.06615328557
2020-04-18,11380844.470073152,7838.8205999455595,7836.463773556046,45247.67299795024,6682.866463113566,26.03632894581333,3.908015024352823,53086.4935978958,53112.52992684161
2020-04-19,11371657.288974535,9189.94461726918,9187.181098617288,53079.145311824075,7836.057081293667,30.621096365645066,4.584767419831736,62269.08992909326,62299.711025458906
