,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-03-18,17263998.0,945.0,0.0,0.0,0.0,0.0,0.0,945.0,945.0
2020-03-19,17263998.0,1.3374794216714463,0.0,943.6625205783286,943.6625205783286,0.0,0.0,945.0,945.0
2020-03-20,17263054.82542682,943.1764661449563,943.1745731807199,153.20319510166212,1.33558645743505,791.7949119341015,791.7949119341015,1096.3796612466185,1888.17457318072
2020-03-21,17262901.709815305,154.4505100515389,153.11561151770434,966.4972070684198,941.8415676111217,920.3424675784655,128.54755564436405,1120.9477171199587,2041.2901846984241
2020-03-22,17261935.773705266,966.1547072661128,965.9361100398054,309.7744043388825,154.2319128252314,1731.2971831332343,810.9547155547688,1275.9291116049953,3007.2262947382296
2020-03-23,17261626.196462713,310.9446627005789,309.5772425533626,1014.6405948218498,964.7872871188965,1991.2182797691635,259.9210966359292,1325.5852575224287,3316.803537291592
2020-03-24,17260612.21984019,1014.4167093853605,1013.9766225201323,473.7949867700936,310.50457583535075,2842.5684636562705,851.350183887107,1488.211696155454,4330.780159811725
2020-03-25,17260138.76271418,474.8928524362864,473.45712600898213,1089.2308181049473,1012.9809829580562,3240.113615279473,397.5451516232025,1564.1236705412337,4804.237285820706
2020-03-26,17259050.338477157,1089.0963633916922,1088.4242370238273,649.5152577467755,474.2207260684214,4154.0499017060665,913.9362864265931,1738.6116211384679,5892.661522844534
2020-03-27,17258401.345116932,650.5347824201515,648.9933602251742,1192.0841842480224,1087.554941196715,4699.035916401534,544.986014695468,1842.618966668174,6541.654883069708
2020-03-28,17257210.263584383,1192.0022488276256,1191.081532547659,841.4612259207815,649.6140661401848,5699.27294086896,1000.2370244674257,2033.4634747484072,7732.736415617367
2020-03-29,17256369.56812848,842.3825230733545,840.695455900452,1325.7351028243288,1190.3151816547231,6405.314245620136,706.0413047511757,2168.1176258976834,8573.43187151782
2020-03-30,17255045.104033317,1325.6563378003034,1324.464095165609,1054.5464489534902,841.19028043866,7517.693179929634,1112.3789343094986,2380.2027867537936,9897.895966683427
2020-03-31,17253991.64945941,1055.330804672046,1053.4545739080077,1493.4927361959758,1323.780107036265,8402.526999723414,884.8338197937793,2548.823540868022,10951.350540591437
2020-04-01,17252499.79416854,1493.3489239219025,1491.8552908697282,1294.1912870239703,1053.8371716198717,9655.66562051529,1253.1386207918772,2787.540210945873,12443.205831461164
2020-04-02,17251207.133594148,1294.7741441867493,1292.6605743929708,1699.5150426846546,1491.235354128124,10741.57721898273,1085.9115984674397,2994.289186871404,13735.866405854133
2020-04-03,17249509.755850468,1699.2102661911792,1697.3777436794735,1566.4517799774324,1292.9416216750435,12167.582103364995,1426.0048843822658,3265.6620461686116,15433.244149533606
2020-04-04,17247945.42796223,1566.7328181498863,1564.3278882407608,1948.9010597996853,1696.8053362820538,13481.938159824796,1314.3560564598008,3515.633877949572,16997.572037774367
2020-04-05,17245999.34584523,1948.2995486418106,1946.0821169978606,1878.1602934315479,1564.5153865059362,15117.19431269887,1635.2561528740737,3826.4598420733582,18943.65415477223
2020-04-06,17244124.11377918,1877.9895375363428,1875.232066051094,2247.8023727537457,1945.5420771565618,16693.094310533234,1575.8999978343643,4125.791910290089,20818.886220823322
2020-04-07,17241880.05997255,2246.7117667981383,2244.0538066282243,2237.079939318667,1875.3315773664285,18579.148321334742,1886.0540108015073,4483.7917061168055,23062.940027451546
2020-04-08,17239647.001353577,2236.2384398785557,2233.058618974302,2603.5547011921317,2243.5319458938848,20456.205505355163,1877.0571840204202,4839.793141070688,25295.99864642585
2020-04-09,17237048.46332853,2601.7030228186177,2598.538025045826,2652.0745339390646,2233.073442105764,22640.759114713994,2184.553609358831,5253.777556757683,27894.536671471677
2020-04-10,17234401.897939354,2650.2476370633935,2646.565389175224,3024.830369073005,2598.020774930448,24866.0240545105,2225.264939796508,5675.0780061363985,30541.1020606469
2020-04-11,17231383.81450514,3021.8343883676866,3018.083434212231,3133.295453324318,2646.496682907938,27404.055653167125,2538.031598656625,6155.129841692004,33559.18549485913
2020-04-12,17228258.055397764,3130.0359764880877,3125.7591073768276,3521.8120353524655,3017.5575192564265,30033.096590395402,2629.040937228279,6651.848011840553,36684.944602235955
2020-04-13,17224745.35150352,3517.133903456913,3512.7038942424747,3692.38610343467,3125.6059672736496,32988.128489586845,2955.031899191445,7209.520006891583,40197.648496478425
