,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-03-28,3505833.0,1020.0,0.0,0.0,0.0,0.0,0.0,1020.0,1020.0
2020-03-29,3505833.0,9.605883093003058,0.0,1010.3941169069969,1010.3941169069969,0.0,0.0,1020.0,1020.0
2020-03-30,3505314.8264572225,518.2640064934005,518.1735427777178,421.21734793628923,9.51541937732027,598.692188348028,598.692188348028,939.4813544296898,1538.1735427777178
2020-03-31,3505098.8400201243,220.8672051938064,215.98643709803483,685.0152694893409,513.3832383976289,848.2775051926053,249.5853168445773,905.8824746831473,1754.1599798757525
2020-04-01,3504747.6083064247,353.3117377705546,351.2317136997996,497.908073477834,218.78718112305145,1254.1718823271635,405.89437713455834,851.2198112483886,2105.3916935755524
2020-04-02,3504492.3386948174,258.5969363604705,255.2696116071277,552.8653588439911,349.98441301721175,1549.199009978218,295.0271276510546,811.4622952044616,2360.66130518268
2020-04-03,3504208.913995152,285.86004470356625,283.4246996654413,481.43579933762123,256.1615913223456,1876.7901608069335,327.59115082871546,767.2958440411875,2644.086004848121
2020-04-04,3503962.127396501,249.4786948959835,246.78659865050986,479.33699155523465,283.1679484580926,2162.0569170474128,285.2667562404792,728.8156864512182,2890.872603498631
2020-04-05,3503716.433962456,248.04290774835385,245.69343404505403,442.44307006687416,247.12922119268367,2446.080059728457,284.0231426810442,690.485977815228,3136.566037543685
2020-04-06,3503489.667122246,229.102792341195,226.76684020994085,425.9877610731847,245.7069556170997,2708.242324339246,262.1622646107892,655.0905534143797,3363.3328777536253
2020-04-07,3503271.348308003,220.4763972232825,218.31881424337067,400.5210248195302,226.94520936128316,2960.6542699541833,252.41194561493762,620.9974220428128,3581.6516919969963
2020-04-08,3503066.093992425,207.3306592019064,205.2543155778933,381.59902278110724,218.4000535992694,3197.9763255918756,237.3220556376924,588.9296819830137,3786.9060075748894
2020-04-09,3502870.5480600204,197.49847561431426,195.54593240461938,360.8669999696117,205.37811599221152,3424.086464395583,226.11013880370706,558.3654755839259,3982.451939979509
2020-04-10,3502685.636331541,186.77167678119184,184.91172847942966,342.67980294426064,195.63852731255207,3637.912188733486,213.82572433790313,529.4514797254525,4167.363668458938
2020-04-11,3502510.053167372,177.34209249479957,175.58316416906987,324.6433474362217,185.01274845546214,3840.961392696987,203.04920396350113,501.98543993102123,4342.946832628008
2020-04-12,3502343.7199073453,168.00338493632373,166.3332600265457,307.95331205927334,175.67196758502155,4033.323395658957,192.36200296196992,475.9566969955971,4509.280092654554
2020-04-13,3502185.945395178,159.35668949557433,157.7745121672144,291.90191890608287,166.4212076079638,4215.795996420111,182.4726007611543,451.25860840165717,4667.054604821768
2020-04-14,3502036.401271543,151.044870428736,149.54412363522377,276.7962462457731,157.8559427020621,4388.757611782483,172.96161536237184,427.84111667450907,4816.598728456992
2020-04-15,3501894.601982507,143.2217590040893,141.7992890363087,262.40764583244777,149.6224004609554,4552.768612656763,164.01100087428068,405.6294048365371,4958.3980174933
2020-04-16,3501760.179238338,135.77153973104453,134.42274416891948,248.79533368353776,141.87296344196426,4708.253888247637,155.48527559087427,384.5668734145823,5092.820761662219
2020-04-17,3501632.7345229923,128.72334822627826,127.44471534587294,235.86871355816476,134.4929068506392,4855.6734152236495,147.4195269760122,364.592061784443,5220.265477008093
2020-04-18,3501511.915830023,122.03094927760164,120.81869296936482,223.61973173859363,127.51109191804144,4995.433488961262,139.76007373761257,345.6506810161953,5341.084169977457
2020-04-19,3501397.375367636,115.6896928111618,114.54046238715314,211.9993068126809,120.88171885359297,5127.935632740768,132.5021437795057,327.68899962384273,5455.62463236461
2020-04-20,3501288.7905655834,109.67431348808864,108.58480205258917,200.98283345911577,114.60018137566233,5253.5522874699955,125.61665472922748,310.6571469472044,5564.2094344172
2020-04-21,3501185.8515290245,103.97189796445079,102.93903655889005,190.53525842778043,108.6414520825279,5372.641314583859,119.08902711386325,294.5071563922312,5667.14847097609
2020-04-22,3501088.2663823147,98.56430543219184,97.58514670983482,180.62950695539905,102.99273924209376,5485.539805298334,112.89849071447514,279.1938123875909,5764.733617685924
2020-04-23,3500995.7571754185,93.43743944046818,92.50920689622829,171.23657701186755,97.63607288795195,5592.568808129817,107.02900283148345,264.67401645233576,5857.242824582152
2020-04-24,3500908.0608647075,88.57626082838163,87.69631071095546,162.33068753942808,92.557489323042,5694.032186925298,101.46337879548146,250.90694836780972,5944.939135293108
2020-04-25,3500824.9276576047,83.96737691293438,83.1332071028042,153.88643608715446,87.74209101825146,5790.218529395824,96.18634247052508,237.85381300008885,6028.0723423959125
2020-04-26,3500746.1208135705,79.59760953050541,78.80684403418014,145.88020544592752,83.17661141660912,5881.4013714536595,91.18284205783607,225.4778149764329,6106.879186430093
