,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-04-14,1776190.0,1035.0,0.0,0.0,0.0,0.0,0.0,1035.0,1035.0
2020-04-15,1776190.0,6.271071952509146,0.0,1028.7289280474909,1028.7289280474909,0.0,0.0,1035.0,1035.0
2020-04-16,1775817.19714732,372.84084914715555,372.80285268007,745.2054853313159,6.233075485423593,289.75651820159845,289.75651820159845,1118.0463344784714,1407.80285268007
2020-04-17,1775547.197526508,272.2586660215021,269.9996208119983,905.8892870963621,370.5818039376517,499.654520374204,209.8980021726056,1178.1479531178643,1677.8024734920682
2020-04-18,1775219.0295502958,329.8175932985909,328.1679762122962,921.3413957058353,270.6090489352074,754.8114606999382,255.15694032573415,1251.1589890044263,2005.9704497043645
2020-04-19,1774885.3255729992,335.7023443099985,333.7039772966856,989.6513697321939,327.819226285278,1014.3207129588575,259.5092522589194,1325.3537140421925,2339.67442700105
2020-04-20,1774526.9475390112,360.4120567471848,358.37803398796353,1044.5699377679175,333.66832155077725,1293.070466473911,278.7497535150535,1404.9819945151023,2698.0524609890135
2020-04-21,1774148.7584669746,380.37281110952694,378.18907203666373,1108.5798856330453,358.2283176743216,1587.2888362831047,294.2183698091938,1488.9526967425722,3076.241533025677
2020-04-22,1773747.479977648,403.5831707441627,401.2784893265337,1174.4003093923181,378.0681296918979,1899.5365422157297,312.24770593262497,1577.983480136481,3477.5200223522106
2020-04-23,1773322.472273851,427.45301693949193,425.00770379692335,1244.7511779760544,401.13785760159413,2230.323531233588,330.78698901785793,1672.2041949155464,3902.527726149134
2020-04-24,1772872.1129925235,452.949222028634,450.3592813276246,1319.011916198988,424.86307623848256,2580.9258692491367,350.6023380155489,1771.961138227622,4352.887007476758
2020-04-25,1772395.006878975,479.85053592731,477.1061135483973,1397.6977569820315,450.2047996497213,2952.4448281158147,371.51895886667785,1877.5482929093414,4829.993121025156
2020-04-26,1771889.5749891475,508.3393074481852,505.43188982765355,1480.9589008449057,476.94311830677833,3346.126802559719,393.68197444390427,1989.2982082930907,5335.42501085281
2020-04-27,1771354.1871368259,538.4678836001557,535.3878523216085,1569.084486098567,505.25927616963804,3763.260493475696,417.1336909159768,2107.5523696987225,5870.812863174418
2020-04-28,1770787.1120205268,570.3376968228295,567.0751162989918,1662.3342408663646,535.205303076318,4205.216041784216,441.95554830852035,2232.6719376891942,6437.88797947341
2020-04-29,1770186.5282987664,604.0394016965545,600.5837217603183,1760.9955549144167,566.8820168865933,4673.436744622757,468.22070283854106,2365.034956610971,7038.471701233728
2020-04-30,1769550.5150758727,639.6731016862097,636.0132228937559,1865.3649757900293,600.3795229041007,5169.446846651245,496.0101020284882,2505.038077476239,7674.484924127484
2020-05-01,1768877.0491353336,677.3417241591335,673.4659405390765,1975.7550210326303,635.7973180661528,5694.854119474797,525.4072728235517,2653.096745191764,8347.95086466656
2020-05-02,1768163.9997740602,717.1533793300746,713.049361273419,2092.4924867848026,673.2377061024779,6251.354359825103,556.5002403503056,2809.645866114877,9061.00022593998
2020-05-03,1767409.1243177948,759.2206934082373,754.87545626547,2215.919577459793,712.8081421873073,6840.7354113374195,589.3810515123168,2975.1402708680303,9815.87568220545
2020-05-04,1766610.0633057351,803.6611353411399,799.0610120597902,2346.394054409192,754.6205701268875,7464.881504514908,624.1460931774883,3150.055189750332,10614.93669426524
2020-05-05,1765764.3357067415,850.596987211206,845.7275989936606,2484.2896674803055,798.7917471235945,8125.777638567389,660.8961340524809,3334.8866546915115,11460.6642932589
2020-05-06,1764869.3340737154,900.1554058855344,895.0016330262213,2629.9964355950524,845.443214351893,8825.514084804536,699.7364462371462,3530.151841480587,12355.665926285123
2020-05-07,1763922.3197001063,952.4684212600835,947.0143736091189,2783.9209095759534,894.7013582345699,9566.290969058204,740.7768842536688,3736.3893308360366,13302.68029989424
2020-05-08,1762920.4177951852,1007.6729174835546,1001.9019049210282,2946.4863591981684,946.6974086975571,10350.422928133545,784.1319590753418,3954.159276681723,14304.582204815268
2020-05-09,1761860.6127164334,1065.9105757278398,1059.8050787518648,3118.132888893244,1001.5674205075794,11180.343818946048,829.9208908125038,4184.043464621083,15364.387283567132
2020-05-10,1760739.7432966002,1127.3277791717558,1120.8694198332728,3299.317463980413,1059.4522163893569,12058.611460248236,878.2676413021879,4426.645243152168,16485.256703400402
2020-05-11,1759554.4983103229,1192.0754728640077,1185.2449862772942,3490.5138350689044,1120.4972925850423,12987.912381744787,929.3009214965508,4682.589307932913,17670.5016896777
2020-05-12,1758301.41213045,1260.3089731708142,1253.086179873083,3692.2123444655017,1184.8526795662765,13971.066551914466,983.154170169679,4952.521317636316,18923.58786955078
2020-05-13,1756976.8606308042,1332.1877201800226,1324.5514996455809,3904.919597712422,1252.6727526363725,15011.032051303919,1039.9654993894521,5237.107317892444,20248.139369196364
2020-05-14,1755577.0573989325,1407.8749662171851,1399.8032318717762,4129.1579815456425,1324.1159858346136,16110.909653305313,1099.8776020013931,5537.0329477628275,21647.94260106814
2020-05-15,1754098.0503297702,1487.5373930398432,1479.0070691622736,4365.465008030665,1399.3446423396156,17273.947269159908,1163.0376158545937,5853.002401070507,23126.949670230417
2020-05-16,1752535.7186790027,1571.3446498242106,1562.331650767398,4614.392462945716,1478.5243939830307,18503.544208227886,1229.5969390679795,6185.737112769926,24689.281320997812
2020-05-17,1750885.7706632027,1659.4688035886363,1649.9480158000006,4876.505334821282,1561.8238620355748,19803.255198387895,1299.710990160009,6535.974138409919,26339.229336797813
