,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-04-08,604981.0,780.0,0.0,0.0,0.0,0.0,0.0,780.0,780.0
2020-04-09,604981.0,5.657039494346918,0.0,774.3429605056531,774.3429605056531,0.0,0.0,780.0,780.0
2020-04-10,604731.874123027,249.16690530099248,249.1258769729917,592.4227696024227,5.616011166346148,187.53620206957646,187.53620206957646,841.5896749034152,1029.1258769729916
2020-04-11,604541.3550970143,192.32613758186253,190.51902601266778,696.3051613336543,247.35979373179774,331.0136040701426,143.47740200056612,888.6312989155168,1219.6449029856594
2020-04-12,604317.4987667117,225.2511976822947,223.8563303026847,718.6000105982312,190.93127020225253,499.6500250078182,168.6364209376756,943.8512082805258,1443.501233288344
2020-04-13,604086.5603735357,232.57205333168355,230.9383931759942,768.1815929109506,223.61753752660536,673.6859802217041,174.03595521388593,1000.7536462426342,1674.4396264643383
2020-04-14,603839.7821573399,248.4649716970805,246.77821619582576,813.0228950160183,230.8852978304288,859.7299759470652,186.04399572536107,1061.4878667130988,1921.217842660164
2020-04-15,603578.705377158,262.87880089706994,261.0767801818749,862.7818464737769,246.66295098188542,1056.6339754711921,196.90399952412682,1125.6606473708468,2182.2946228420387
2020-04-16,603301.7698596695,278.8420761537262,276.9355174884682,914.7990920764339,260.9722422318119,1265.5889721003468,208.95499662915483,1193.64116823016,2459.230140330507
2020-04-17,603008.2725837028,295.51961011729975,293.497275966675,970.065909684533,276.81974200310145,1487.141896495349,221.5529243950023,1265.5855198018328,2752.7274162971817
2020-04-18,602697.1953247875,313.2205487945506,311.0772589153358,1028.5043719732037,293.37632023808493,1722.0797544447635,234.93785794941437,1341.7249207677542,3063.8046752125174
2020-04-19,602367.5483738406,331.9186189147873,329.64695094687477,1090.3623285330852,310.94888082663806,1971.17067871152,249.0909242667564,1422.2809474478727,3393.4516261593926
2020-04-20,602018.2664135223,351.6892381851012,349.28196031829344,1155.8015201560793,329.51134104797956,2235.2428281365055,264.07214942498564,1507.4907583411805,3742.733586477686
2020-04-21,601648.2366308399,372.58044923387746,370.0297826824032,1225.019386764156,349.13857163362695,2515.1635331620555,279.92070502555015,1597.5998359980335,4112.7633691600895
2020-04-22,601256.2878116177,394.6510016786909,391.94881922210425,1298.213244987733,369.87826677729083,2811.847941715769,296.68440855371375,1692.864246666424,4504.712188382193
2020-04-23,600841.1909810544,417.9590822337721,415.09683056328504,1375.590947360872,391.7887500082038,3126.258989350834,314.4110476350649,1793.550029594644,4919.809018945478
2020-04-24,600401.6566951355,442.5655821178679,439.5342859188712,1457.3677718360696,414.9277860347754,3459.4099509104117,333.1509615595779,1899.9333539539375,5359.343304864349
2020-04-25,599936.3334011537,468.5330516444899,465.32329398182395,1543.7673083303607,439.35582445520197,3812.366238871323,352.9562879609109,2012.3003599748506,5824.666598846174
2020-04-26,599443.8055940917,495.9258967768516,492.52780706203134,1635.0210927332216,465.13496192966966,4186.2474163981315,373.8811775268087,2130.9469895100733,6317.194405908205
2020-04-27,598922.5921768484,524.810176710259,521.2134172431615,1731.3685246825914,492.32913730975406,4582.229121758515,395.98170536038424,2256.1787013928506,6838.407823151366
2020-04-28,598371.1449410515,555.253481818327,551.4472357969358,1833.056604304962,521.0039306888679,5001.544972825012,419.3158510664972,2388.3100861232892,7389.855058948302
2020-04-29,597787.8472341619,587.3247464742315,583.2977068895906,1940.3396115451594,551.2264422336862,5445.488407818501,443.9434349934888,2527.664358019391,7973.152765837893
2020-04-30,597171.0128393489,621.0940349243812,616.8343948130837,2053.478677337237,583.065106362934,5915.414448389358,469.9260405708563,2674.572712261618,8589.987160650977
2020-05-01,596518.885111014,656.6322840852004,652.1277283348536,2172.7412460590763,616.5894791740344,6412.741358841553,497.32691045219525,2829.3735301442766,9242.11488898583
2020-05-02,595829.6364091295,694.0110028644364,689.248701884522,2298.400412835951,651.869983105286,6938.952175169964,526.210816328411,2992.4114157003874,9931.36359087035
2020-05-03,595101.367880772,733.3019227840592,728.2685283575009,2430.734122842917,688.9776084378781,7495.5960736008765,556.6438984309126,3164.036045626976,10659.632119227852
2020-05-04,594332.1096411552,774.5765959480877,769.258239616716,2570.024217682962,727.9835664526875,8084.289545213519,588.6934716126422,3344.6008136310497,11428.890358844568
2020-05-05,593519.8214108469,817.9059359425311,812.2882303083322,2716.555313604086,768.9588903138889,8706.717339606283,622.4277943927644,3534.461249546617,12241.1785891529
2020-05-06,592662.3936701033,863.3596973875256,857.427740743567,2870.6134956278174,811.9739792985725,9364.633136881124,657.9157972748411,3733.973193015343,13098.606329896467
2020-05-07,591757.649395442,911.0058899253729,904.7442746613362,3032.4848112702525,857.0980821234889,10059.859903362178,695.2267664810539,3943.4907011956257,14003.350604557803
2020-05-08,590803.3464475464,960.9101226377726,954.3029478956053,3202.453547303221,904.3987151832056,10794.289882512414,734.4299791502369,4163.3636699409935,14957.653552453408
2020-05-09,589797.1806832596,1013.1348752024552,1006.1657642867121,3380.8002730343155,953.9410117220295,11569.88416850335,775.5942859909351,4393.935148236771,15963.81931674012
2020-05-10,588736.7898676238,1067.7386925615342,1060.3908156357386,3567.79963392273,1005.7869982766597,12388.671805891594,818.7876373882449,4635.538326484264,17024.210132375858
2020-05-11,587619.7584645017,1124.7753004983224,1117.0314031220878,3763.717880062926,1059.9947951852996,13252.748354936699,864.0765490451041,4888.493180561249,18141.241535497946
2020-05-12,586443.6233860905,1184.292640330626,1176.1350784111582,3968.810115229903,1116.6177385788546,14164.273858348577,911.5255034118773,5153.102755560529,19317.376613909106
2020-05-13,585205.8807823964,1246.331821949439,1237.7426036940356,4183.317253865676,1175.7034220752225,15125.470141788026,961.1962834394495,5429.649075815116,20555.11921760314
2020-05-14,583903.9939512493,1310.9259956854078,1301.8868311471651,4407.462675677549,1237.2926574111964,16138.61737738735,1013.1472355993243,5718.388671362956,21857.006048750307
2020-05-15,582535.4024474513,1378.0991449926248,1368.5915037980628,4641.448570499322,1301.4183544908458,17206.049837056424,1067.4324596690728,6019.547715491947,23225.59755254837
2020-05-16,581097.5324658996,1447.8648037187227,1437.8699815516086,4885.451969821503,1368.1043228255107,18330.150760559754,1124.1009235033307,6333.316773540226,24663.467534099982
2020-05-17,579587.8085677152,1520.224703796033,1509.7238981843514,5139.620466008608,1437.363998107041,19513.346262479692,1183.1955019199363,6659.845169804641,26173.191432284333
2020-05-18,578003.6668102556,1595.167361548949,1584.1417574596464,5404.067625767555,1509.1990997067305,20758.098202427474,1244.7519399477828,6999.234987316504,27757.33318974398
2020-05-19,576342.5693311014,1672.666613467597,1661.0974791542951,5678.868110977107,1583.598227235647,22066.89594445357,1308.7977420260952,7351.534724444704,29418.430668898272
2020-05-20,574602.0204223939,1752.6801152373184,1740.5489087074957,5964.052527584671,1660.5354069377743,23442.24693478378,1375.3509903302102,7716.732642821989,31158.97957760577
2020-05-21,572779.5841150115,1835.1478210142384,1822.4363073823743,6259.602031951465,1739.9686016054543,24886.66603202244,1444.4190972386605,8094.749852965703,32981.41588498814
2020-05-22,570872.9032717803,1919.9904633612332,1906.680843231179,6565.442733778367,1821.8382008841843,26402.66353107972,1515.9974990572814,8485.4331971396,34888.09672821932
2020-05-23,568879.7201650586,2007.1080578498945,1993.1831067216845,6881.439945533693,1906.0655122330231,27992.73183155742,1590.0683004776972,8888.548003383588,36881.27983494101
2020-05-24,566797.8984865196,2096.378460016825,2081.821678539032,7207.392340045306,1992.5512763721013,29659.33071341791,1666.5988818604887,9303.770800062131,38963.10151348004
2020-05-25,564625.4467057927,2187.656006038917,2172.4517807268485,7543.026090473152,2081.1742347047566,31404.871197694818,1745.5404842769103,9730.68209651207,41135.55329420689
2020-05-26,562360.5426599388,2280.7702720413454,2264.9040458539,7887.989080041259,2171.7897798514714,33231.69798797818,1826.8267902833647,10168.759352082605,43400.457340060784
2020-05-27,560001.5592177946,2375.5249902293986,2358.98344214418,8241.845282406637,2264.228723956127,35142.070509568926,1910.3725215907486,10617.370272636035,45759.44078220496
2020-05-28,557547.0908224712,2471.6971628740184,2454.4683953233316,8604.069427025419,2358.2962226787117,37138.142587628856,1996.0720780599293,11075.766589899438,48213.909177528294
2020-05-29,554995.9806723447,2569.0364173937664,2551.110150126531,8974.042076912212,2453.770895606783,39221.940833348846,2083.7982457199905,11543.078494305979,50765.01932765482
2020-05-30,552347.3482565641,2667.264647159541,2648.632415780551,9351.045258264012,2550.4041860147768,41395.341838011824,2173.401004662977,12018.309905423554,53413.651743435374
2020-05-31,549600.6169164601,2766.075982989678,2746.731340103964,9734.2587919445,2647.920004273827,43660.04830860516,2264.7064705933385,12500.334774934177,56160.38308353934
2020-06-01,546755.5410605087,2865.1371393875183,2845.075855951445,10122.757485138894,2746.0146995536047,46017.56431496437,2357.51600635921,12987.894624526412,59005.45893949078
2020-06-02,543812.2326191514,2964.088177196047,2943.3084413572838,10515.509346881388,2844.357403548755,48469.16985677063,2451.6055418062606,13479.597524077435,61948.76738084807
2020-06-03,540771.1862884231,3062.543720321992,3041.0463307282425,10911.374992882982,2942.5907876022975,51015.89499837134,2546.7251416007043,13973.918713204974,64989.81371157631
2020-06-04,537633.3030797711,3160.094658368768,3137.8832086520683,11309.108402402242,3040.3322706052927,53658.493859457376,2642.5988610860336,14469.20306077101,68127.69692022838
2020-06-05,534399.911669538,3256.310359320683,3233.3914102331614,11707.35918209582,3137.1757092812463,56397.41878904504,2738.9249295876675,14963.669541416504,71361.08833046154
2020-06-06,531072.7870272204,3350.7414068157655,3327.1246423176526,12104.676478229092,3232.69359482257,59232.79508773434,2835.3762986893,15455.417885044857,74688.21297277919
2020-06-07,527654.1657986337,3442.922865091425,3418.621228586681,12499.51465881862,3326.439770311021,62164.396677455836,2931.6015897214934,15942.437523910045,78106.83420136588
