,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-03-21,11376204.0,1035.0,0.0,0.0,0.0,0.0,0.0,1035.0,1035.0
2020-03-22,11376204.0,4.356899407809351,0.0,1030.6431005921906,1030.6431005921906,0.0,0.0,1035.0,1035.0
2020-03-23,11375803.21174343,400.8065972203881,400.7882565706782,704.0603289632143,4.338558758099429,330.9213303870758,330.9213303870758,1104.8669261836023,1435.7882565706782
2020-03-24,11375529.43203218,275.46693253109606,273.7797112498636,877.1183451558218,399.11937593915565,556.9826901336239,226.0613597465482,1152.5852776869178,1709.5679678205418
2020-03-25,11375188.365481423,342.22614661577404,341.0665507556622,869.7984439215624,274.3073366709842,838.6099280388676,281.62723790524365,1212.0245905373363,2050.634518576204
2020-03-26,11374850.155407283,339.6506972273957,338.2100741399299,931.3070207883671,340.7855235283082,1117.886874700371,279.2769466615034,1270.9577180157628,2388.844592716134
2020-03-27,11374488.039271347,363.5459175038788,362.1161359371039,970.5016700906046,338.2209156606208,1416.9131410587543,299.02626635838334,1334.0475875944835,2750.9607286532378
2020-03-28,11374110.695260182,378.87438120672306,377.34401116548236,1020.9062402666061,362.0155474626381,1728.524118345391,311.61097728663657,1399.7806214733291,3128.30473981872
2020-03-29,11373713.766447326,398.52370905512976,396.92881285501994,1070.3907290855227,377.27948500661324,2056.3191145330875,327.7949961876966,1468.9144381406525,3525.2335526737397
2020-03-30,11373297.612565866,417.83149277665785,416.1538814607349,1123.5532336396134,396.8460977392068,2400.0027077182035,343.68359318511614,1541.3847264162712,3941.3874341344745
2020-03-31,11372860.805782603,438.56567194248936,436.8067832628346,1178.8727015412767,416.0726040970031,2760.7558439135432,360.7531361953398,1617.438373483766,4378.194217397309
2020-04-01,11372402.509904604,460.1420485461055,458.29587799888645,1237.0769608251971,436.7195013952703,3139.271086024893,378.5152421113499,1697.2190093713027,4836.490095396196
2020-04-02,11371921.606050683,482.8408516213155,480.9038539219738,1298.078407987762,458.2050508467638,3536.474689709092,397.2036036841991,1780.9192596090775,5317.39394931817
2020-04-03,11371417.00970687,506.62889359079907,504.596343812543,1362.0966168575815,480.80830184305944,3953.264782682332,416.79009297324,1868.7255104483806,5821.990293130713
2020-04-04,11370887.551338874,531.5910550755211,529.4583679968111,1429.2476121056993,504.4962065120891,4390.609993946304,437.3452112639711,1960.8386671812204,6351.448661127524
2020-04-05,11370332.016683517,557.7724222683435,555.534655357179,1499.694688237191,529.3532881643566,4849.516205979169,458.90621203286497,2057.4671105055345,6906.983316484704
2020-04-06,11369749.12841328,585.2362493055656,582.8882702367025,1573.59360516989,555.4244431994804,5331.041732245951,481.5255262667815,2158.8298544754557,7489.871586721407
2020-04-07,11369137.549109198,614.0428939059435,611.579304081762,1651.1130989218293,582.772659481384,5836.2948979753955,505.2531657294447,2265.155992827773,8101.4508908031685
2020-04-08,11368495.87626545,644.2576970050796,641.6728437482407,1732.4278309893373,611.4580406491045,6366.438206556992,530.1433085815966,2376.685527994417,8743.12373455141
2020-04-09,11367822.640039464,675.9482704082843,673.2362259845568,1817.7214480200896,641.5456525813521,6922.690242107591,556.2520355505997,2493.669718428374,9416.359960535965
2020-04-10,11367116.299818246,709.1856691600253,706.3402212189127,1907.1859581497463,673.1028224671717,7506.328554445106,583.638312337515,2616.3716273097716,10122.700181754877
2020-04-11,11366375.241033055,744.0441481098493,741.058785190052,2001.0224750201842,706.2003062402281,8118.692343814897,612.3637893697903,2745.0666231300333,10863.75896694493
