,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-03-21,7163933.0,855.0,0.0,0.0,0.0,0.0,0.0,855.0,855.0
2020-03-22,7163933.0,5.5171632106065545,0.0,849.4828367893934,849.4828367893934,0.0,0.0,855.0,855.0
2020-03-23,7163501.346400878,431.6892003961739,431.65359912144584,430.0609168534785,5.481561935878519,424.9034818717935,424.9034818717935,861.7501172496524,1286.653599121446
2020-03-24,7163282.829734947,221.30227970315212,218.51666593140715,643.8519984640798,428.9035866244289,640.015986885621,215.1125050138276,865.154278167232,1505.170265052853
2020-03-25,7162955.6944505265,328.5633087431583,327.1352844203494,541.677421178807,219.87425538034324,962.064819551237,322.048832665616,870.2407299219653,1832.3055494732023
2020-03-26,7162680.485698902,277.32891232556494,275.20875162456736,597.1785179605828,326.4431480421607,1233.0068708116219,270.9420512603849,874.5074302861477,2107.5143010977695
2020-03-27,7162377.090295038,305.1849581003165,303.39540386368475,574.0146879550897,275.53935808893317,1531.710058906048,298.70318809442625,879.1996460554062,2410.9097049614543
2020-03-28,7162085.475583387,293.5840160065693,291.61471165187737,590.1134877811132,303.2156537456246,1818.8269128256493,287.1168539196011,883.6975037876825,2702.5244166133316
2020-03-29,7161785.694459741,301.67556918042743,299.78112364553436,586.6337331074155,291.68957047167623,2113.996237971023,295.16932514537393,888.3093022878429,3002.305540258866
2020-03-30,7161487.693545793,299.94757283848446,298.0009139474657,592.933859452379,299.72891028940865,2407.4250219154683,293.4287839444451,892.8814322908635,3300.3064542063316
2020-03-31,7161186.504797502,303.1242567279597,301.18874829056176,594.3658748048017,298.01206440108655,2704.0050709641323,296.5800490486639,897.4901315327613,3601.4952024968934
2020-04-01,7160884.601335312,303.8594692047511,301.90346219017573,598.237794594869,301.1682497133843,3001.3014008874493,297.296329923317,902.0972637996201,3903.3986646870694
2020-04-02,7160580.743972628,305.8181138944458,303.857362684281,600.9034840901602,301.8987179945863,3300.5344293867443,299.23302849929513,906.721597984606,4207.25602737135
2020-04-03,7160275.545602067,307.1717605573109,305.19837056068457,604.181826183491,303.84472389781945,3601.100811191233,300.5663818044886,911.3535867408019,4512.454397932035
2020-04-04,7159968.695243472,308.8324834334747,306.8503585952477,607.1652836126295,305.1896357190839,3903.3069894811783,302.20617828994546,915.9977670461042,4819.304756527283
2020-04-05,7159660.342868828,310.34521583209636,308.35237464398006,610.3064496724801,306.8396422453584,4207.005465666686,303.6984761855079,920.6516655045764,5127.657131171262
2020-04-06,7159350.408583225,311.9368881855619,309.93428560383484,613.3794044389299,308.3426132503693,4512.275124150606,305.2696584839195,925.3162926244918,5437.591416775098
2020-04-07,7159038.927231402,313.49422518390855,311.4813518230565,616.4966971412905,309.92401482470984,4819.081846272955,306.8067221223492,929.9909223251991,5749.072768598154
2020-04-08,7158725.876501763,315.07365221902194,313.0507296389959,619.6020365576921,311.4713026038825,5127.447809460436,308.3659631874808,934.6756887767141,6062.12349823715
2020-04-09,7158411.262670515,316.64694559044204,314.6138312481564,622.7233491052313,313.04053787673627,5437.367034789633,309.91922532919716,939.3702946956732,6376.737329485306
2020-04-10,7158095.077834322,318.2281027183226,316.18483619322024,625.8465510867509,314.6036790653397,5748.847511873453,311.48047708382006,944.0746538050735,6692.922165678527
2020-04-11,7157777.321242921,319.8100608523652,317.75659140102175,628.9785104378325,316.17463326697913,6061.890185789351,313.0426739158976,948.7885712901978,7010.678757079549
2020-04-12,7157457.988660401,321.396260066235,319.3325825198999,632.1156426403845,317.7463833060301,6376.499436892829,314.60925110347813,953.5119027066196,7330.011339599449
2020-04-13,7157137.07767246,322.98490094882493,320.91098794056296,635.2595739946923,319.32234705797305,6692.677852596495,316.1784157036653,958.2444749435173,7650.922327540012
2020-04-14,7156814.58504071,324.5767959758179,322.4926317499743,638.409329540808,320.9007367229813,7010.428833773361,317.75098117686565,962.9861255166259,7973.414959289987
2020-04-15,7156490.50802335,326.17145380220813,324.07701736036677,641.5652292176812,322.48235953397653,7329.755293630464,319.3264598571034,967.7366830198894,8297.491976650354
2020-04-16,7156164.843717759,327.7690320768182,325.66430559112507,644.7269447593053,324.066727316515,7650.660305405355,320.9050117748909,972.4959768361234,8623.156282241478
2020-04-17,7155837.58938956,329.36936357329876,327.25432819862,647.8944687268461,325.6539967021394,7973.146778139953,322.4864727345987,977.2638323001448,8950.410610440098
2020-04-18,7155508.742309749,330.9724418403105,328.84707981059415,651.067631255038,327.2440015435824,8297.217617155344,324.07083901539045,982.0400730953486,9279.257690250692
2020-04-19,7155178.299837138,332.5781790207052,330.4424726115286,654.2463410339453,328.83673543113395,8622.87564280757,325.6580256522267,986.8245200546505,9609.70016286222
2020-04-20,7154846.25937847,334.18652661372937,332.04045866759657,657.4304651357983,330.4321110745724,8950.12362978029,327.24798697271945,991.6169917495276,9941.740621529818
2020-04-21,7154512.6184095405,335.79741525648365,333.64096892886533,660.6198889342852,332.03008028611106,9278.964286267914,328.84065648762413,996.4173041907688,10275.381590458683
2020-04-22,7154177.374465898,337.4107847485717,335.2439436425251,663.8144862228057,333.63057415043704,9609.40026312983,330.4359768619166,1001.2252709713774,10610.625534101207
2020-04-23,7153840.52514871,339.02656908010846,336.84931718715325,667.0141341102033,335.2335328556165,9941.43414809805,332.033884968219,1006.0407031903117,10947.474851288362
2020-04-24,7153502.068123077,340.6447038953657,338.4570256329716,670.2187055904095,336.83889081771434,10275.068467435558,333.6343193375081,1010.8634094857753,11285.931876921333
2020-04-25,7153162.001120105,342.2651227705247,340.0670029714376,673.4280732441684,338.44658409627857,10610.305683878078,335.23721644251964,1015.6931960146932,11625.998879892772
2020-04-26,7152820.321937111,343.8877590686116,341.6791829941984,676.6421073909634,340.0565466961115,10947.148196427393,336.8425125493166,1020.529866459575,11967.67806288697
2020-04-27,7152477.028438755,345.512545014121,343.2934983557452,679.8606770082988,341.66871241023586,11285.598339220294,338.4501427929004,1025.3732220224197,12310.971561242714
2020-04-28,7152132.118557715,347.13941215396267,344.90988104033113,683.0836492717613,343.28301390048944,11625.658380857321,340.060041637027,1030.223061425724,12655.881442283046
2020-04-29,7151785.590295586,348.76829112752375,346.52826212905893,686.3108897831097,344.89938315549784,11967.33052350147,341.6721426441494,1035.0791809106336,13002.409704412104
2020-04-30,7151437.44172367,350.39911178137635,348.14857191607234,689.5422624558225,346.51775126221975,12310.616902090977,343.2863785895069,1039.941374237199,13350.558276328175
2020-05-01,7151087.670983819,352.03180311241863,349.7707398509573,692.7776295718614,348.138048519915,12655.519583494852,344.9026814038761,1044.8094326842802,13700.329016179132
2020-05-02,7150736.276289252,353.66629329678005,351.39469456801356,696.0168517535494,349.76020438365214,13002.040565696816,346.5209822019642,1049.6831450503296,14051.723710747145
2020-05-03,7150383.255925379,355.3025096762195,353.0203638724667,699.2597879782343,351.3841474930273,13350.181776965159,348.14121126834243,1054.5622976544537,14404.744074619612
2020-05-04,7150028.60825063,356.9403787659589,354.6476747483895,702.5062955721039,353.00980565865007,13699.945075029938,349.7632980647804,1059.4466743380628,14759.391749368002
2020-05-05,7149672.331697274,358.57982625208405,356.27655335605186,705.7562302148776,354.6371058699267,14051.33224625709,351.387171227153,1064.3360564669617,15115.668302724052
2020-05-06,7149314.424772239,360.22077699439933,357.90692503479266,709.0094459395684,356.2659742924774,14404.345004824878,353.01275856778653,1069.2302229339678,15473.575227758845
2020-05-07,7148954.886057936,361.8631550268215,359.53871430339507,712.2657951352012,357.8963362709729,14758.984991900217,354.6399870753401,1074.1289501620226,15833.11394206224
2020-05-08,7148593.714213073,363.50688355926144,361.1718448619655,715.5251285485617,359.5281163295256,15115.253774816383,356.2687829161651,1079.0320121078232,16194.285786924207
2020-05-09,7148230.9079734795,365.15188497902784,362.8062395933256,718.7872952869409,361.1612381735592,15473.152846251563,357.89907143518,1083.9391802659688,16557.092026517534
2020-05-10,7147866.466152915,366.79808085273686,364.44182056491235,722.052142820901,362.79562469120333,15832.683623408806,359.5307771572431,1088.8502236736379,16921.533847082443
2020-05-11,7147500.387643884,368.44539192824044,366.0785090306944,725.3195169875557,364.43119795519084,16193.847447197342,361.1638237885362,1093.7649089157962,17287.61235611314
2020-05-12,7147132.671418451,370.09373813681776,367.7162254333511,728.5892619941245,366.0678792247738,16556.64558141555,362.798134218205,1098.6830001309422,17655.32858154649
2020-05-13,7146763.316529044,371.74303859551367,369.3548894065963,731.8612204218877,367.7055889479004,16921.079211935685,364.4336305201373,1103.6042590174013,18024.683470953085
2020-05-14,7146392.322109266,373.39321160968257,370.99441977770795,735.1352332304857,369.34424676353905,17287.149445890627,366.070233954941,1108.5284448401683,18395.677890730796
2020-05-15,7146019.687374696,375.04417467571324,372.6347345702358,738.411139762596,370.98377150420515,17654.85731086272,367.70786497209485,1113.4553144383092,18768.31262530103
2020-05-16,7145645.411623689,376.6958444839492,374.27575100690456,741.6887777489771,372.6240811986686,18024.20375407501,369.34644321228745,1118.3846222329264,19142.588376307936
2020-05-17,7145269.494238176,378.3481369217996,375.9173855127058,744.9679833138919,374.2650930748554,18395.18964158495,370.98588750994065,1123.3161202356914,19518.50576182064
2020-05-18,7144891.934684458,380.00096707704785,377.55955371818646,748.2485909809085,375.9067235629382,18767.815757480872,372.6261158959216,1128.2495580579564,19896.065315538828
2020-05-19,7144512.732513995,381.6542492413546,379.2021704629307,751.5304336790873,377.548888298624,19142.082803081317,374.2670456004452,1133.184682920442,20275.267486001758
2020-05-20,7144131.887364196,383.3078969139622,380.84514979924165,754.8133427495534,379.191502126634,19517.991396137484,375.9085930561679,1138.1212396635156,20656.112635801
2020-05-21,7143749.3989592,384.96182280559765,382.4884049960202,758.0971479524626,380.8344791043848,19895.54207003896,377.5506739014756,1143.0589707580602,21038.601040797017
2020-05-22,7143365.267110657,386.61593884257917,384.1318485428469,761.3816774743599,382.4777325058654,20274.735273022925,379.1932029839681,1147.997616316939,21422.732889339863
2020-05-23,7142979.491718503,388.2701561711265,385.7753921542652,764.6667579359382,384.1211748257179,20655.571367387063,380.8360943641395,1152.9369141070647,21808.508281494127
2020-05-24,7142592.072771728,389.92438516187707,387.41894677427024,767.9522144001987,385.76471778351964,21038.05062870632,382.4792613192592,1157.8765995620759,22195.927228268396
2020-05-25,7142203.010349147,391.5785354146089,389.06242258100247,771.237870381016,387.40827232827064,21422.173245053775,384.12261634745335,1162.8164057956249,22584.9896508494
2020-05-26,7141812.304620155,393.23251576317415,390.7057289916505,774.5235478521118,389.05174864308526,21807.939316225766,385.76607117198944,1167.756063615286,22975.69537984105
2020-05-27,7141419.955845487,394.8862342806403,392.3487746675609,777.809067256442,390.6950561500948,22195.34885297153,387.40953674576474,1172.6953015370823,23368.04415450861
2020-05-28,7141025.964377968,396.5395982846468,393.99146751956124,781.0942475159954,392.33810351555474,22584.40177622753,389.0529232560013,1177.6338458006421,23762.035622028172
2020-05-29,7140630.3306632545,398.19251434297126,395.633714713492,784.378906042015,393.9807986551675,22975.097916356677,390.6961401291479,1182.5714203849864,24157.669336741663
2020-05-30,7140233.055240579,399.8448882793142,397.27542267595516,787.6628587456355,395.6230487396122,23367.437012392667,392.33909603599176,1187.5077470249498,24554.944759417616
2020-05-31,7139834.138743479,401.49662517929687,398.91649710027497,790.9459200489479,397.2647602002923,23761.418711289647,393.98169889697994,1192.4425452282449,24953.861256517892
2020-06-01,7139433.581900526,403.14762939667787,400.5568429526756,794.2279028964888,398.9058387352946,24157.0425671774,395.6238558877536,1197.3755322931665,25354.418099470568
2020-06-02,7139031.385536047,404.7978045597876,402.1963644786758,797.50861876716,400.54618931556604,24554.308040622294,397.2654734448949,1202.3064233269477,25756.61446394924
2020-06-03,7138627.550570837,406.447053578184,403.83496520970266,800.7878776865775,402.18571619130626,24953.214497894183,398.90645727188877,1207.2349312647616,26160.449429158944
2020-06-04,7138222.078022867,408.09527864952634,405.4725479699228,804.0654882398579,403.8243228985805,25353.761210239485,400.5467123453001,1212.1607668893844,26565.92197712887
2020-06-05,7137814.969007984,409.7423812666732,407.1090148832961,807.3412575848379,405.4619122661492,25755.947353160653,402.1861429211692,1217.083638851511,26973.030992012165
2020-06-06,7137406.224740603,411.3882622250025,408.74426738084946,810.6149914657337,407.09838642252015,26159.772005702278,403.82465254162423,1222.0032536907363,27381.775259393013
2020-06-07,7136995.846534395,413.03282162995487,410.37820620817337,813.8864942272412,408.733646803221,26565.234149743992,405.4621440417135,1226.9193158571961,27792.153465601186
2020-06-08,7136583.835802961,414.6759589048021,412.0107314331415,817.1555688290777,410.36759415829425,26972.33266930045,407.0985195564578,1231.8315277338797,28204.16419703433
2020-06-09,7136170.194060507,416.31757279864047,413.6417424538538,820.4220168609684,412.0001285600154,27381.066349828572,408.73368052812475,1236.7395896596088,28617.805939488182
2020-06-10,7135754.9229225,417.95756139461054,415.2711380068051,823.6856385580788,413.631149410835,27791.433877542295,410.3675277137245,1241.6431999526894,29033.077077494985
2020-06-11,7135338.024106326,419.59582211834373,416.898816175278,826.9462328168948,415.2605554515448,28203.433838735025,411.9999611927288,1246.5420549352386,29449.975893670264
2020-06-12,7134919.499431928,421.23225174663514,418.524674397962,830.2035972115511,416.88824476967056,28617.06471911004,413.63088037501427,1251.4358489581864,29868.500568068226
2020-06-13,7134499.35082245,422.8667464163462,420.14860947779937,833.4575280106098,418.5141148080883,29032.324903119068,415.2601840090297,1256.324274426956,30288.649177546024
2020-06-14,7134077.580304858,424.49920163353255,421.7705175910563,836.7078201942913,420.13806237386996,29449.212673309255,416.8877701901884,1261.2070218278238,30710.41969513708
2020-06-15,7133654.190010562,426.12951228280417,423.3902942966236,839.9542674721563,421.759983647352,29867.72620967874,418.5135363694871,1266.0837797549605,31133.809989433703
2020-06-16,7133229.182176016,427.75757263691094,425.00783454554204,843.1966623012413,423.3797741914353,30287.86358904109,420.1373793623503,1270.9542349381522,31558.817823979243
2020-06-17,7132802.559143325,429.3832763665591,426.62303269075704,846.4347959046487,424.9973289611089,30709.622784398794,421.7591953577015,1275.8180722712077,31985.44085667
2020-06-18,7132374.323360828,431.0065165504567,428.2357824971008,849.6684582905903,426.61254231320316,31133.001664326057,423.37887992726155,1280.674974841047,32413.676639167104
2020-06-19,7131944.477383676,432.6271856855881,429.84597715150164,852.8974382718862,428.22530801637026,31557.99799236113,424.99632803507427,1285.5246239574744,32843.52261631861
