,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-04-16,2297901.0,795.0,0.0,0.0,0.0,0.0,0.0,795.0,795.0
2020-04-17,2297901.0,5.390953728478735,0.0,789.6090462715213,789.6090462715213,0.0,0.0,795.0,795.0
2020-04-18,2297717.3615933447,183.67496311080023,183.63840665532527,710.1660642590862,5.354397273003768,84.79737928543886,84.79737928543886,893.8410273698864,978.6384066553253
2020-04-19,2297552.212342576,166.3947642617412,165.1492507683948,816.329643581638,182.42944961745386,161.06324958034082,76.26587029490196,982.7244078433793,1143.78765742372
2020-04-20,2297362.3883762704,190.95230149393456,189.8239663055117,893.9291256568139,165.26642907331833,248.7301965784833,87.66694699814248,1084.8814271507486,1333.6116237292317
2020-04-21,2297154.537107083,209.1461308500217,207.85126918750558,987.5860859084233,189.65743983141843,344.7306761582922,96.00047957980894,1196.732216758445,1541.4628929167372
2020-04-22,2296924.9300344046,231.02530804177923,229.60707267837944,1089.255530951455,207.72789548662192,450.78912660188234,106.0584504435901,1320.2808389932343,1771.0699655951166
2020-04-23,2296671.710817213,254.78581687175998,253.21921719155773,1201.7373444395519,229.45870836157698,567.7660214753624,116.9768948734801,1456.523161311312,2024.2891827866742
2020-04-24,2296392.3737527705,281.0647858887156,279.33706444289385,1325.7389430091011,253.0580954259382,696.8225183317513,129.05649685638883,1606.8037288978167,2303.626247229568
2020-04-25,2296084.2506970786,310.02897676771244,308.12305569169877,1462.5245808246516,279.15886481270195,839.1957453289028,142.37322699715145,1772.553557592364,2611.749302921267
2020-04-26,2295744.3820675514,341.97095892107245,339.8686295270569,1613.3883726243514,307.9266473736969,996.2586009028998,157.062855573997,1955.3593315454239,2951.6179324483237
2020-04-27,2295369.510467818,377.19053006805785,374.8715997334327,1779.7760415708522,339.6520285864473,1169.5229605428465,173.2643596399466,2156.96657163891,3326.4895321817567
2020-04-28,2294956.046135057,416.0220896088904,413.4643327605668,1963.2758170712013,374.63277321973425,1360.6559582622317,191.13299771938514,2379.2979066800917,3739.9538649423234
2020-04-29,2294500.0346552776,458.8325563017395,456.01147977959283,2165.6374978475737,413.2010130867437,1571.495290572603,210.83933231037122,2624.470054149313,4195.965344721916
2020-04-30,2293997.1204327387,506.025599998268,502.9142225389695,2388.7873995917007,455.721178842441,1804.066567670917,232.5712770983141,2894.8129995899685,4698.879567260886
2020-05-01,2293442.506909903,558.0449198104312,554.6135228355679,2634.8459004065976,502.59420302340465,2060.6022698794245,256.5357022085076,3192.8908202170287,5253.493090096454
2020-05-02,2292830.912982579,615.3780711497606,611.5939273244642,2906.1463579525334,554.2607759851348,2343.5625883186235,282.96031843919906,3521.524429102294,5865.087017420918
2020-05-03,2292156.525350042,678.560556696443,674.3876325365827,3205.2557961382604,611.2051469899003,2655.6582971227967,312.0957088041734,3883.816352834703,6539.474649957499
2020-05-04,2291412.9464598293,748.1802594746805,743.5788902128927,3534.997433463282,673.9591874346552,2999.8758472324303,344.21755010963363,4283.177692937963,7283.053540170393
2020-05-05,2290593.1377049717,824.882220467084,819.8087548577894,3898.475195019733,743.1067938653858,3379.5048795413654,379.6290323089352,4723.3574154868165,8102.862295028182
2020-05-06,2289689.3575163432,909.3737759014695,903.780188628535,4299.100337328182,819.2886331941496,3798.168370427066,418.6634908857003,5208.474113229651,9006.642483656717
2020-05-07,2288693.0939842565,1002.4300628385731,996.2635320866526,4740.620316340182,903.207245149549,4259.8556365646145,461.68726613754893,5743.050379178756,10002.90601574337
2020-05-08,2287594.9916389515,1104.899897613072,1098.1023453051491,5227.1500235137355,995.6325105306502,4768.958439921712,509.1028033570975,6332.049921126807,11101.00836104852
2020-05-09,2286384.7720214967,1217.7120252817958,1210.2196174545845,5763.205505975498,1097.4074897858607,5330.31044724581,561.3520073240978,6980.917531257294,12311.227978503104
2020-05-10,2285051.147686626,1341.8817300694575,1333.6243348708333,6353.7402724910435,1209.4546300831717,5949.2303108134365,618.9198635676269,7695.622002560501,13644.852313373936
2020-05-11,2283581.729299488,1478.517786277439,1469.4183871379478,7004.184266098667,1332.7823309299663,6631.568648135779,682.3383373223428,8482.702052376106,15114.270700511885
2020-05-12,2281962.9255220257,1628.8297157923853,1618.803777462128,7720.485555183842,1468.4918479471817,7383.759206997785,752.1905588620069,9349.315270976227,16733.074477974013
2020-05-13,2280179.835435019,1794.1353016351134,1783.0900870069272,8509.154755577343,1617.7845011641991,8212.874507768483,829.1153007706979,10303.290057212456,18516.16456498094
2020-05-14,2278216.133312745,1975.8682862912465,1963.702122273957,9377.312144692138,1781.969137617824,9126.686256271512,913.8117485030288,11353.180430983384,20479.866687254897
2020-05-15,2276053.9456634144,2175.586158141652,2162.1876493303757,10332.737362125392,1962.4697774799702,10133.730816318228,1007.0445600467162,12508.323520267044,22642.05433658527
2020-05-16,2273673.7205755105,2394.9778983579195,2380.225087904007,11383.921506463354,2160.8333476877397,11243.380019668006,1109.6492033497784,13778.899404821273,25022.27942448928
2020-05-17,2271054.0895742998,2635.8715232622135,2619.631001210922,12540.121331690187,2378.737376306628,12465.9175707478,1222.5375510797942,15175.992854952401,27641.910425700204
2020-05-18,2268171.7224013936,2900.241212423472,2882.367172906338,13811.415114572274,2617.9974837450795,13812.621271610793,1346.7037008629923,16711.656326995744,30524.27759860654
2020-05-19,2265001.1753916177,3190.2137596848925,3170.547009775959,15208.759602114742,2880.5744625145385,15295.851246582863,1483.2299749720694,18398.973361799635,33694.8246083825
2020-05-20,2261514.734444888,3508.074021902878,3486.4409467300256,16744.047250622087,3168.58068451204,16929.144282587557,1633.2930360046942,20252.121272524964,37181.26555511252
2020-05-21,2257682.2539864816,3856.268967498298,3832.4804584062767,18430.162729555104,3484.2855128108567,18727.314316465396,1798.1700338778408,22286.431697053402,41013.7460135188
2020-05-22,2253470.9937880225,4237.40984319888,4211.260198458815,20281.037378445915,3830.119322758233,20706.55899033282,1979.2446738674223,24518.447221644794,45225.00621197761
2020-05-23,2248845.4560951167,4654.271882079837,4625.537692905893,22311.699967647295,4208.675654024935,22884.572055156375,2178.013064823556,26965.97184972713,49850.54390488351
2020-05-24,2243767.2261874527,5109.790869118261,5078.2299076641075,24538.3217178243,4622.710920625684,25280.661225605054,2396.0891704486785,29648.11258694256,54928.77381254762
