,S,E,E_delta,I,I_delta,R,E+I
2020-02-20,51269103.0,80.0,0.0,0.0,0.0,0.0,80.0
2020-02-21,51269103.0,0.21882882269635218,0.0,79.78117117730365,79.78117117730365,0.0,80.0
2020-02-22,51269066.13237227,36.86822631074097,36.86762773507044,56.704272284880425,0.21823024702581878,23.295129139449042,93.5724985956214
2020-02-23,51269039.928814866,26.30440528056158,26.203557398580553,76.91469465317891,36.76737842875995,39.852085199910505,103.2190999337405
2020-02-24,51269004.385856554,35.61491033955144,35.54295831406053,80.68899496029171,26.232453255070666,62.310238147868375,116.30390529984315
2020-02-25,51268967.09878665,37.38448951357105,37.287069902320546,92.6462830744315,35.51749072830094,85.87044076202953,130.03077258800255
2020-02-26,51268924.28618349,42.91486320991666,42.81260316207467,102.8769276027511,37.28222946572906,112.92202569943899,145.79179081266776
2020-02-27,51268876.745955735,47.657615367621396,47.540227755216385,115.63559481213008,42.79747559751165,142.96083408757164,163.29321017975147
2020-02-28,51268823.30989826,53.566418225390954,53.4360574770983,129.3986657962116,47.527254619328744,176.72501772281888,182.96508402160254
2020-02-29,51268763.513886936,59.94253477058675,59.79601131763272,145.03572803168157,53.419894772436926,214.5078502597858,204.97826280226832
2020-03-01,51268696.491960034,67.18589132804902,67.02192689913299,162.4656343405386,59.778570341670715,256.8565142925995,229.65152566858762
2020-03-02,51268621.41566137,75.2600762774329,75.07629865866888,182.0297639135112,67.002113709285,304.2944984289119,257.2898401909441
2020-03-03,51268537.29878974,84.32273505348684,84.11687162988899,203.93350535893723,75.05421285383505,357.4449698373209,288.25624041242406
2020-03-04,51268443.060243376,94.46919942445325,94.23854636397462,228.47949053369712,84.09208199300821,416.9910666555692,322.94868995815034
2020-03-05,51268337.47908619,105.83956447781883,105.58115718167983,255.97705748423726,94.21079212831425,483.70429183334335,361.8166219620561
2020-03-06,51268219.191452496,118.5771430386122,118.28763369749501,286.7849331964301,105.55005513670163,558.4464712578522,405.3620762350423
2020-03-07,51268086.667728715,132.84807498591434,132.52372377829138,321.30002156337633,118.25279183098925,642.1841747218951,454.1480965492907
2020-03-08,51267938.19491751,148.83619855159617,148.47281120351312,359.9690208078554,132.48468763783129,735.9998631152474,508.80521935945154
2020-03-09,51267771.85363491,166.74840322727363,166.34128260097805,403.2915340866652,148.4290779253006,841.1064277617381,570.0399373139388
2020-03-10,51267585.493671946,186.8160799202221,186.3599629606631,451.8276101012516,166.29228626771462,958.8626380148663,638.6436900214737
2020-03-11,51267376.70607417,209.29860705816566,208.78759777279456,506.2045281311986,186.305070634851,1090.7907906197704,715.5031351893642
2020-03-12,51267142.79208878,234.48649249180488,233.91398539462332,567.1250784897122,208.7260999609841,1238.5963402222408,801.6115709815172
2020-03-13,51266880.7282891,262.705204714896,262.0637996762688,635.3765584953674,233.84508745317765,1404.1899476697633,898.0817632102634
2020-03-14,51266587.12754685,294.31933563556424,293.6007422522647,711.8409624701112,261.98661133159646,1589.712155026616,1006.1602981056755
2020-03-15,51266258.19530148,329.7373147890967,328.9322453676729,797.5063477667408,293.5142662141405,1797.561035944127,1127.2436625558375
2020-03-16,51265889.68058487,369.4166669639164,368.514716608987,893.4795833726752,328.8353644341673,2030.42316477236,1262.8962503365915
2020-03-17,51265476.82116428,413.8699082696381,412.8594205906865,1001.0006193213544,368.4061792849648,2291.3083081086456,1414.8705275909924
2020-03-18,51265014.2821033,463.6711442892341,462.53906097953296,1121.4584695496956,412.7378249599369,2583.5882828402414,1585.1296138389298
2020-03-19,51264496.086952046,519.4634588864571,518.1951512536685,1256.4091080599073,462.4028366564456,2911.0404809864754,1775.8725669463645
2020-03-20,51263915.54068627,581.9671854858365,580.5462657715627,1407.5955082166506,518.0425391721834,3277.8966200019154,1989.5626937024872
2020-03-21,51263265.14340989,651.9891663029562,650.397276377359,1576.9700794688529,580.3752955602394,3688.897344309952,2228.959245771809
2020-03-22,51262536.49371907,730.4331160929241,728.6496908220136,1766.7197867252899,650.2057410320456,4149.3533780855605,2497.152902818214
2020-03-23,51261720.180495806,818.311220999732,816.3132232640689,1979.2942705786838,728.4351183572611,4665.2140125894275,2797.6054915784157
2020-03-24,51260805.66175385,916.757117968642,914.5187419550097,2217.43732388959,816.0728449860997,5243.1438042646205,3134.194441858232
2020-03-25,51259781.128997885,1027.0404169764056,1024.532755966111,2484.222121500628,914.2494569583473,5890.60846361193,3511.2625384770336
2020-03-26,51258633.35537662,1150.582946829081,1147.7736212627246,2783.09064581043,1024.2310914100492,6615.971030712177,3933.6735926395113
2020-03-27,51257347.525709726,1288.976925791996,1285.8296668961323,3117.8978019204606,1147.4356879332172,7428.5995625353635,4406.874727712457
2020-03-28,51255907.04624505,1444.0052809627332,1440.4794646733105,3492.9607726236386,1285.4511095025734,8338.98770133476,4936.966053586371
2020-03-29,51254293.33175447,1617.6643652795078,1613.714490584503,3913.114226130295,1440.0554062677284,9358.889654095832,5530.778591409802
2020-03-30,51252485.56730078,1812.1893485431926,1807.7644536860432,4383.772058680523,1613.2394704223584,10501.471291967962,6195.9614072237155
2020-03-31,51250460.44170255,2030.0825890016654,2025.1255982311084,4910.9964306350375,1807.2323577726356,11781.479277786084,6941.079019636703
2020-04-01,51248191.84938478,2274.145325063982,2268.592317777387,5501.574938847167,2024.5295817150704,13215.430351289026,7775.720263911149
2020-04-02,51245650.55692885,2547.513062726067,2541.292455924515,6163.10686066917,2267.92471826243,14821.823147729452,8710.619923395236
2020-04-03,51242803.83022149,2853.6950734137245,2846.7267073597254,6904.099506388695,2540.544696672068,16621.375198681995,9757.79457980242
2020-04-04,51239615.0176464,3196.6184592506097,3188.812575084991,7734.075827730884,2845.8891892481056,18637.288066587913,10930.694286981494
2020-04-05,51236043.08426134,3580.6772882382506,3571.9333850626604,8663.69455072362,3187.8745560750194,20895.543899670196,12244.37183896187
2020-04-06,51232042.09135339,4010.787350398057,4000.9929079550475,9704.884232008604,3570.8828457952413,23425.237064180452,13715.671582406661
2020-04-07,51227560.615164466,4492.447137348634,4481.476188923971,10870.992778708522,3999.816401973394,26258.944919453927,15363.439916057156
2020-04-08,51222541.09792426,5031.8057016813855,5019.51724020524,12176.954123092404,4480.158675872489,29433.142250942532,17208.75982477379
2020-04-09,51216919.1236175,5635.738108231747,5621.97430676005,13639.473904026894,5018.041900209689,32988.66437021773,19275.212012258642
2020-04-10,51210622.61014569,6311.929246005158,6296.513471814542,15277.236176592753,5620.3223340411305,36971.224431693,21589.16542259791
2020-04-11,51203570.908720456,7068.966825804877,7051.701425231802,17111.13334768409,6294.663845432084,41431.99110603375,24180.100173488965
2020-04-12,51195673.80044883,7916.444442730277,7897.108271628146,19164.52171646223,7049.630654702746,46428.233391958354,27080.966159192507
2020-04-13,51186830.379144296,8865.075632249856,8843.42130453306,21463.505180698343,7894.79011501348,52024.04004273572,30328.5808129482
2020-04-14,51176927.8084298,9926.819890289738,9902.570714493248,24037.249848412044,8840.826456453366,58291.121831475386,33964.069738701786
2020-04-15,51165839.94020116,11115.02165750624,11087.868228634856,26918.332462126033,9899.666461418354,65309.70567917975,38033.35411963228
2020-04-16,51153425.780509785,12444.563280173286,12414.15969137883,30143.125691587542,11084.618068711785,73169.53051843002,42587.68897176083
2020-04-17,51139527.78792602,13932.03294790791,13897.992583763278,33752.22346819763,12410.522916028654,81970.9556578486,47684.25641610554
2020-04-18,51123969.98849275,15595.908562865447,15557.79943326848,37790.909605328925,13893.923818310943,91826.19333902824,53386.81816819437
2020-04-19,51106555.89051682,17456.75840480615,17414.097975935005,42309.672953471585,15553.2481339943,102860.67812487988,59766.43135827774
