,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-03-14,45918074.0,975.0,0.0,0.0,0.0,0.0,0.0,975.0,975.0
2020-03-15,45918074.0,3.3422861804476725,0.0,971.6577138195523,971.6577138195523,0.0,0.0,975.0,975.0
2020-03-16,45917104.71098293,969.3004743784023,969.289017068749,293.3814446089051,3.330828870794327,681.6070980814416,681.6070980814416,1262.6819189873074,1944.289017068749
2020-03-17,45916812.050918385,295.98281283832364,292.6600645509224,1053.555344674856,965.977726091001,887.4109241064916,205.80382602505003,1349.5381575131796,2236.9490816196712
2020-03-18,45915761.09280351,1051.9727397666672,1050.9581148794882,609.466155796095,294.9681879511446,1626.4683009363973,739.0573768299057,1661.4388955627624,3287.90719649916
2020-03-19,45915153.14302193,611.555929225336,607.9497815839721,1230.2990064374344,1048.3665921253034,2054.0020424203612,427.5337414839641,1841.8549356627705,3895.8569780831317
2020-03-20,45913925.92129397,1229.3181330137738,1227.2217279565218,976.7174374062786,609.4595241680839,2917.043135619601,863.0410931992398,2206.0355704200524,5123.078706039653
2020-03-21,45912951.672906004,978.462473097553,974.2483879618138,1516.6650472840993,1225.1040478780346,3602.1995736198146,685.1564380002138,2495.127520381652,6097.327094001466
2020-03-22,45911438.87394552,1516.1531159730653,1512.798960483916,1427.8496735164988,975.1083176084037,4666.123264995818,1063.9236913760042,2944.002789489564,7610.126054485382
2020-03-23,45910014.71088882,1429.360408094915,1424.1630567031618,1937.1847453166338,1510.955764581312,5667.743957776996,1001.6206927811769,3366.545153411549,9034.289111188544
2020-03-24,45908082.5877669,1937.0229491368918,1932.1231219175538,2002.7317356105382,1424.460580875577,7026.6575483586685,1358.9135905816727,3939.75468474743,10966.412233106099
2020-03-25,45906085.17298559,2004.0548685269164,1997.4147813124443,2528.220521018049,1930.3828619224198,8431.551624873577,1404.894076514909,4532.275389544966,12963.827014418543
2020-03-26,45903563.7742216,2528.268635677451,2521.398763993414,2751.886892802094,1997.1849968428792,10205.07024993241,1773.5186250588342,5280.155528479545,15485.225778411956
2020-03-27,45900819.46333235,2752.977758300063,2744.3108892523874,3341.070557899121,2519.6017666297753,12135.48835146516,1930.4181015327479,6094.048316199184,18229.536667664343
2020-03-28,45897487.7900068,3341.110494282019,3331.673325546997,3740.887246479538,2743.5405895650415,14479.212252449783,2343.7239009846244,7081.997740761557,21561.20999321134
2020-03-29,45893757.69529904,3741.5479871788825,3730.0947077610494,4446.3535924218295,3329.657214864186,17103.403121371677,2624.1908689218944,8187.901579600712,25291.30470097239
2020-03-30,45889324.52984385,4445.991428655947,4433.165455188225,5056.007928214606,3728.72201371116,20222.47079929006,3119.067677918383,9501.999356870554,29724.470156160613
2020-03-31,45884284.00526512,5055.765374332193,5040.524578731797,5940.025135689471,4430.750633055552,23769.204224870744,3546.7334255806863,10995.790510021663,34764.9947348924
2020-04-01,45878362.82112325,5938.515233911185,5921.184141867886,6811.5977364582595,5038.434282288894,27936.06590639085,4166.861681520106,12750.112970369444,40686.17887676029
2020-04-02,45871573.70511798,6809.473151318387,6789.11600526846,7951.495640293791,5918.158087861258,32714.326090416576,4778.260184025726,14760.968791612178,47475.29488202876
2020-04-03,45863649.62623569,7947.421659733328,7924.078882287399,9159.740106707275,6786.130373872458,38292.21199787555,5577.885907458974,17107.161766440604,55399.37376431616
2020-04-04,45854523.04575639,9153.824128107273,9126.580479303666,10654.46213193749,7920.178010929721,44717.667983575055,6425.455985699506,19808.286260044762,64525.95424361982
2020-04-05,45843909.2668651,10645.158070663396,10613.77889129763,12302.920189944361,9122.444948741508,52191.654874309694,7473.986890734636,22948.078260607756,75139.73313491745
2020-04-06,45831656.161263764,12289.597052317313,12253.105601334482,14281.224893769358,10608.666619680565,60822.01679016526,8630.361915855568,26570.82194608667,87392.83873625193
2020-04-07,45817436.562738255,14261.727090013788,14219.598525509962,16510.572680800426,12247.468487813487,70840.13749094767,10018.120700782418,30772.299770814214,101612.4372617619
2020-04-08,45801002.33692976,16483.114806813148,16434.225808492873,19141.427351207534,14212.838091693513,82422.12091223408,11581.983421286404,35624.54215802068,118046.66307025476
2020-04-09,45781956.255916454,19102.584897231518,19046.08101330378,22140.539511482122,16426.61092288541,95849.6196748449,13427.498762610825,41243.124408713644,137092.74408355856
2020-04-10,45759935.16292641,22086.576380307073,22021.09299003749,25646.29837407184,19037.101506961935,111380.96231921711,15531.342644372215,47732.874754378914,159113.83707359602
2020-04-11,45734439.493678235,25571.38171895557,25495.6692481768,29666.56872101123,22010.863909528303,129371.55588180602,17990.593562588914,55237.9504399668,184609.50632177282
2020-04-12,45704963.598436214,29563.553576108454,29475.895242022078,34339.523531343715,25483.723384869194,150182.32445634273,20810.768574536713,63903.07710745217,214085.4015637949
