,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-03-14,12251961.0,62.0,0.0,0.0,0.0,0.0,0.0,62.0,62.0
2020-03-15,12251961.0,0.2509203548740473,0.0,61.74907964512595,61.74907964512595,0.0,0.0,62.0,62.0
2020-03-16,12251901.42437251,59.5766429916276,59.5756274912326,17.822798749538734,0.2499048544790454,44.17618575006627,44.17618575006627,77.39944174116633,121.5756274912326
2020-03-17,12251884.228986567,17.436498723125716,17.19538594245373,64.40764064788206,59.33553021095561,56.92687406267854,12.750688312612274,81.84413937100777,138.7710134336863
2020-03-18,12251822.088763824,62.21079004060697,62.14022274306878,35.69541328411921,17.36593142558753,103.00503285202892,46.078158789350375,97.90620332472619,200.9112361767551
2020-03-19,12251787.650152814,34.690384453291756,34.43861100951782,72.11741432173974,61.95901659683304,128.5420484112414,25.5370155592125,106.8077987750315,235.3498471862729
2020-03-20,12251718.072121097,69.7184272584216,69.5780317168452,55.0735607146519,34.54998891171535,180.1358909300446,51.5938425188032,124.7919879730735,304.9278789031181
2020-03-21,12251664.938100295,53.41617842240062,53.13402080128863,85.10940751116449,69.43626963730961,219.53631377084162,39.40042284079701,138.5255859335651,358.06189970440676
2020-03-22,12251582.826369036,82.32791200854128,82.11173125941605,77.42090260433606,53.19999767327539,280.42481635094543,60.88850258010382,159.74881461287734,440.1736309638228
2020-03-23,12251508.132843042,75.0267154919595,74.6935259936172,104.02759027996399,81.99472251019898,335.8128511855165,55.388034834571066,179.05430577192348,514.86715695744
2020-03-24,12251407.770539256,100.66594459378838,100.36230378610651,104.3278204821827,74.72307468427762,410.2356956675754,74.4228444820589,204.99376507597108,615.2294607435465
2020-03-25,12251307.11940804,101.05853661163594,100.65113121581007,129.94872616386562,100.2585391979625,484.873329183855,74.6376335162796,231.00726277550154,715.8805919593565
2020-03-26,12251181.75132526,125.77707703394888,125.3680827779869,137.63106806908638,100.64954235567396,577.8405296343082,92.9672004504532,263.4081451030353,841.2486747373434
2020-03-27,12251048.97305896,133.28729902413556,132.77826630148428,164.43585328499296,125.26804431129761,676.3037887296992,98.46325909539105,297.7231523091285,974.0269410388278
2020-03-28,12250890.336849913,159.17563640736773,158.63620904653968,179.5439343565086,132.7478716633075,793.9435793214911,117.63979059179185,338.71957076387633,1132.6631500853675
2020-03-29,12250717.127663929,173.85338609991584,173.20918598419587,209.62704008171218,158.53143629164776,922.3919098879353,128.44833056644418,383.480426181628,1305.8723360695633
2020-03-30,12250514.89963688,202.93162952177724,202.228027048612,232.80660368078233,173.1497836267506,1072.3621299156157,149.97022002768045,435.73823320255957,1508.1003631181752
2020-03-31,12250290.313901389,225.40702059529448,224.5857354905401,268.3637326142755,202.11034441702284,1238.9153453991455,166.55321548352973,493.77075320957,1732.6860986087154
2020-04-01,12250031.431376634,259.79477007134903,258.8825247552382,300.86720747761353,224.49477527918364,1430.906645814991,191.99130041584556,560.6619775489626,1991.5686233639535
2020-04-02,12249741.199848277,291.2829444200619,290.231528357147,344.3658044788249,258.74335400843415,1646.1514028222136,215.2447570072228,635.6487488988868,2281.8001517211005
2020-04-03,12249409.015272103,333.36342810641713,332.1845761744391,388.10561377344476,290.10409248808384,1892.5156860156776,246.36428319346396,721.4690418798618,2613.9847278955394
2020-04-04,12249034.648244191,375.7161838756329,374.3670279130121,442.46350976990067,332.01427214379635,2170.172062163018,277.65637614734044,818.1796936455336,2988.3517558085514
2020-04-05,12248607.860584281,428.3082218162434,426.78765990995316,500.1143296538531,374.19562196934265,2486.716864248408,316.54480208539024,928.4225514700966,3415.1394157185046
2020-04-06,12248125.48139856,484.1125929954635,482.37918572105053,568.9001107391764,426.57481454183045,2844.5058977049152,357.78903345650707,1053.01270373464,3897.518601439555
2020-04-07,12247576.77733556,550.6633162852879,548.704063000878,644.0540731367437,482.15333971105355,3251.5052750184013,406.9993773134862,1194.7173894220316,4446.222664440433
