,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-04-24,1572116.0,750.0,0.0,0.0,0.0,0.0,0.0,750.0,750.0
2020-04-25,1572116.0,5.148624287342841,0.0,744.8513757126572,744.8513757126572,0.0,0.0,750.0,750.0
2020-04-26,1571707.5433382343,408.4920062085108,408.4566617657745,420.75778339426,5.113279844606552,329.2068721630037,329.2068721630037,829.2497896027708,1158.4566617657745
2020-04-27,1571476.8709204053,233.47664698142566,230.6724178289583,640.4804695260455,405.68777705604344,515.1719630872617,185.965090924258,873.9571165074711,1389.129079594733
2020-04-28,1571125.7912707774,352.68242767482354,351.07964962792227,589.2769636588864,231.8738689345244,798.2493378889452,283.0773748016835,941.95939133371,1740.2087292226552
2020-04-29,1570802.85100868,325.36136784782906,322.94026209736825,679.0916617742446,350.26132192436273,1058.6959616979498,260.4466238090046,1004.4530296220737,2063.1489913200235
2020-04-30,1570430.766275939,374.31828399517985,372.08473274096065,702.0768604250779,323.12781659360985,1358.8385796407263,300.14261794277644,1076.3951444202578,2435.233724060984
2020-05-01,1570046.1787214268,387.1571867898218,384.5875545122564,763.5239744467688,371.74865171761445,1669.1401173366498,310.30153769592357,1150.6811612365905,2819.8212785732403
2020-05-02,1569628.0337520419,420.80273857815456,418.1449693849207,810.5636683386206,384.499417596588,2006.5998410413858,337.4597237047361,1231.366406916775,3237.966247958161
2020-05-03,1569184.2456527334,446.67683957509627,443.7880993083978,870.2274993768833,417.9139983114561,2364.850008314579,358.2501672731933,1316.9043389519795,3681.7543472665584
2020-05-04,1568707.9259854879,479.38602887871355,476.31966724560704,929.2177933714464,443.61047794198976,2749.4701922620056,384.62018394742665,1408.60382225016,4158.074014512165
2020-05-05,1568199.4723230305,511.7445671925137,508.45366245745004,994.6204045002157,476.09512414364985,3160.1627052768863,410.69251301488055,1506.3649716927293,4666.527676969616
2020-05-06,1567655.4077600397,547.5776036674786,544.0645629907277,1063.2529948634688,508.23152651576294,3599.761641429396,439.5989361525099,1610.8305985309473,5210.592239960343
2020-05-07,1567074.0024535025,585.1643350029987,581.4053065370689,1137.138635562416,543.8185752015488,4069.694575931998,469.93293450260154,1722.3029705654149,5791.997546497412
2020-05-08,1566452.4258014807,625.5937070983343,621.5766520219566,1215.6972573543383,581.147279926621,4572.283234066696,502.5886581346988,1841.2909644526726,6413.574198519369
2020-05-09,1565788.1714345498,668.5489628699689,664.2543669308019,1299.6866384913972,621.2991111591673,5109.592964088804,537.3097300221084,1968.2356013613662,7077.828565450171
2020-05-10,1565078.3265878963,714.4343232235137,709.8448466535002,1389.2150543775683,663.9594862999554,5684.024034502589,574.4310704137841,2103.649377601082,7787.673412103671
2020-05-11,1564319.9283243476,763.3027354263294,758.3982635486495,1484.7443712196907,709.5298513458339,6298.0245690063,614.0005345037115,2248.04710664602,8546.07167565232
2020-05-12,1563509.771607224,815.3966624599628,810.1567171236812,1586.5849049660505,758.0627900900478,6954.246825349988,656.2222563436881,2401.9815674260135,9356.228392776002
2020-05-13,1562644.4935518547,870.8756167826359,865.2780553690898,1695.150617693662,809.7991010464167,7655.480213668793,701.2333883188052,2566.0262344762978,10221.50644814509
2020-05-14,1561720.5184897722,929.9534772182027,923.9750620824404,1810.830927363691,864.8972016468737,8404.697105645639,749.2168919768449,2740.784404581894,11145.481510227532
2020-05-15,1560734.0732277262,992.8292367911856,986.4452620459796,1934.055548895761,923.5695024729966,9205.041986586566,800.3448809409267,2926.8847856869465,12131.926772273513
2020-05-16,1559681.1671635672,1059.7216704546308,1052.9060641589947,2065.261900244796,986.0136304955495,10059.84926573308,854.8072791465145,3124.9835706994268,13184.832836432508
2020-05-17,1558557.590441196,1130.851534011617,1123.576722371182,2204.9113439686334,1052.4468588141958,10972.646680823438,912.7974150903581,3335.762877980251,14308.409558803689
2020-05-18,1557358.903543915,1206.450003512212,1198.686897281024,2353.4805715258763,1123.088427780429,11947.165881046625,974.5192002231861,3559.930575038088,15507.096456084713
2020-05-19,1556080.431902027,1286.7537189407287,1278.4716418879984,2511.4651769743205,1198.1679264594818,12987.349202057663,1040.1833210110378,3798.218895915049,16785.56809797271
2020-05-20,1554717.258907346,1372.0063432798165,1363.1729946809273,2679.3767288898466,1277.9203703418395,14097.358020483976,1110.0088184263134,4051.383072169663,18148.74109265364
2020-05-21,1553264.220906293,1462.4565946281812,1453.0380010529827,2857.742684789999,1362.587749704618,15281.579814288441,1184.2217938044655,4320.199279418181,19601.779093706624
2020-05-22,1551715.9026596227,1558.3577660599578,1548.3182466702415,3047.1043890072388,1452.4170752384648,16544.635185309668,1263.0553710212253,4605.462155067196,21150.097340376866
2020-05-23,1550066.6343452712,1659.9661792085474,1649.2683143516067,3248.0154786108096,1547.6599012030172,17891.383996909113,1346.748811599446,4907.981657819357,22799.36565472847
2020-05-24,1548310.4899177006,1767.5398171524614,1756.1444275705403,3461.0394580735515,1648.5707896266263,19326.930807072997,1435.5468101638844,5228.579275226013,24555.51008229901
2020-05-25,1546441.287309129,1881.3364731468203,1869.2026085715713,3686.746988150059,1755.4059525772125,20856.6292295737,1529.6984225007045,5568.083461296879,26424.71269087058
2020-05-26,1544452.5906602524,2001.611708421117,1988.696648876707,3925.7125344473816,1868.4214136024102,22486.08509687879,1629.4558673050876,5927.324242868499,28413.40933974729
2020-05-27,1542337.7149570237,2128.616432103062,2114.875703228653,4178.5104690661565,1987.8709795467082,24221.15814180672,1735.0730449279336,6307.126901169218,30528.285042975942
2020-05-28,1540089.7333947206,2262.594157317395,2247.9815623030445,4445.71049176237,2114.0038370887114,26067.96195619922,1846.8038143924978,6708.304649079765,32776.26660527899
2020-05-29,1537701.4878560689,2403.777868292779,2388.2455386517604,4727.8723497836745,2247.061827676376,28032.86192585429,1964.8999696550723,7131.650218076454,35164.51214393074
2020-05-30,1535165.602892475,2552.3864957460646,2535.8849635939723,5025.539780028123,2387.276336140687,30122.47083175053,2089.608905896239,7577.926275774187,37700.39710752472
2020-05-31,1532474.503626965,2708.620970980174,2691.099265509929,5339.233628207105,2534.8647902758194,32343.641773847365,2221.170942096837,8047.854599187279,40391.49637303464
2020-06-01,1529620.4380071,2872.6598488202258,2854.065619865033,5669.444090363037,2690.0267420249816,34703.458053716415,2359.81627986905,8542.103939183262,43245.561992899675
2020-06-02,1526595.503847274,3044.654488181806,3024.9341598259252,6016.622036438543,2852.939520464345,37209.21962810525,2505.7615743888396,9061.276524620349,46270.4961527256
2020-06-03,1523391.6810992428,3224.7237907570398,3203.822748031146,6381.169382277827,3023.7534454559122,39868.42572772188,2659.2060996166274,9605.893173034867,49474.31890075674
2020-06-04,1520000.8697811973,3412.9485063508732,3390.8113180454548,6763.42849178217,3202.5866024516213,42688.753220669154,2820.3274929472786,10176.376998133042,52865.130218802195
2020-06-05,1516414.9339742316,3609.3651263939555,3585.935806965624,7163.670607493801,3389.519186922542,45678.030291880066,2989.277071210911,10773.035733887757,56451.066025767825
2020-06-06,1512625.7522597737,3813.959401060173,3789.1817144579863,7582.083330023778,3584.5874397917687,48844.20500914186,3166.1747172617916,11396.042731083951,60240.24774022581
2020-06-07,1508625.2749193832,4026.6595323947377,4000.4773403904205,8018.757192901087,3787.777209055856,52195.308355320405,3351.103346178547,12045.416725295825,64240.725080616234
2020-06-08,1504405.5881472526,4247.329114884549,4219.686772130752,8473.671410880299,3999.01718964094,55739.41132698213,3544.102971661728,12721.000525764848,68460.41185274698
2020-06-09,1499958.9854333168,4475.759916385323,4446.602713935679,8946.678916195797,4218.171912434906,59484.57573410154,3745.1644071194087,13422.43883258112,72907.01456668266
2020-06-10,1495278.046159166,4711.664615763877,4680.939274150788,9437.490838926198,4445.034574772234,63438.798386143375,3954.2226520418317,14149.155454690075,77587.95384083345
2020-06-11,1490355.7213082644,4954.669638734301,4922.324850901587,9945.660634171585,4679.319827931163,67609.94841882915,4171.150032685777,14900.330272905885,82510.27869173503
2020-06-12,1485185.4260253548,5204.308259493327,5170.295282909663,10470.568109663767,4920.656662150637,72005.69760548761,4395.749186658454,15674.876369157093,87680.5739746447
2020-06-13,1479761.1385671338,5460.014162092412,5424.287458220884,11011.403661790431,5168.5815556217985,76633.44360898275,4627.7460034951355,16471.417823882843,93104.8614328656
2020-06-14,1474077.504968233,5721.115680933204,5683.633598900958,11567.153084499758,5422.532080060166,81500.22626633359,4866.782657350838,17288.268765432964,98788.49503176655
2020-06-15,1468129.948505403,5986.830963024017,5947.55646282995,12136.58337234713,5681.841180739137,86612.63715922536,5112.410892891766,18123.414335371148,104736.0514945965
2020-06-16,1461914.7827823497,6256.264314120471,6215.1657230532155,12718.229993729607,5945.732371956762,91976.72290979965,5364.085750574285,18974.494307850076,110951.21721764973
2020-06-17,1455429.3269833915,6528.404004819236,6485.455798958281,13310.386160276641,6213.316108259515,97597.88285151213,5621.159941712482,19838.790165095877,117436.67301660801
2020-06-18,1448672.0215634676,6802.121819146285,6757.305419923887,13911.094660073439,6483.587605596838,103480.76195731216,5882.87910580004,20713.21647921972,124193.97843653188
2020-06-19,1441642.5423644339,7076.174625171812,7029.479199033784,14518.142852095554,6755.426393008257,109629.14015829831,6148.378200986142,21594.317477267366,131223.45763556566
2020-06-20,1434341.9108844236,7349.208232725713,7300.631480010195,15129.061432819113,7027.597872456295,116045.81945003105,6416.679291732736,22478.269665544827,138524.0891155759
2020-06-21,1426772.5981914937,7619.763775596219,7569.312692929883,15741.12757919337,7298.757150059378,122732.51045371617,6686.691003685121,23360.891354789586,146093.40180850576
2020-06-22,1418938.6197793672,7886.286813244889,7833.978412126423,16351.373040878872,7567.455374477752,129689.72036650842,6957.20991279225,24237.65985412376,153927.38022063219
2020-06-23,1410845.6185272806,8147.1392891847245,8093.001252086559,16956.59769513903,7832.148776146724,136916.644488395,7226.924121886566,25103.736984323754,162020.38147271873
2020-06-24,1402500.93286329,8400.61440961298,8344.685663990766,17553.38898707276,8091.21054356251,144411.06374002376,7494.419251628778,25954.00339668574,170365.0671367095
2020-06-25,1393913.6472556621,8644.95441746512,8587.285607627873,18138.147554212872,8342.945599775732,152169.25077265938,7758.187032635621,26783.101971677992,178952.35274433738
2020-06-26,1385094.622283052,8878.37113564591,8819.024972610267,18707.11917768984,8585.608254429477,160185.88740361188,8016.636630952506,27585.49031333575,187771.37771694764
2020-06-27,1376056.5017708677,9099.069041865621,9038.120512184249,19256.433013934395,8817.422605964537,168453.99617333186,8268.108769719982,28355.502055800018,196809.4982291319
2020-06-28,1366813.6948341539,9305.270520528764,9242.806936713887,19782.145845293813,9036.605458050744,176964.88880002318,8510.892626691326,29087.416365822577,206052.30516584576
2020-06-29,1357382.3311366881,9495.24281986883,9431.363697465778,20280.291851450427,9241.391398125712,185708.13419199229,8743.2453919691,29775.534671319256,215483.66886331153
2020-06-30,1347780.188255803,9667.32613128063,9602.14288088517,20746.937155116735,9430.059569473371,194671.54845779933,8963.414265807061,30414.263286397363,225085.8117441967
2020-07-01,1338026.5907198451,9819.962109442067,9753.597535957833,21178.238146382577,9600.961557796396,203841.2090243299,9169.660566530554,30998.200255824646,234839.40928015456
2020-07-02,1328142.281040384,9951.722073351095,9884.309679461148,21570.502353402015,9752.54971555212,213201.4945328626,9360.285508532683,31522.22442675311,244723.7189596157
2020-07-03,1318149.2638678811,10061.334076459805,9993.017172502818,21920.25041710311,9883.405169394107,222735.1516385556,9533.65710569301,31981.584493562914,254716.7361321185
2020-07-04,1308070.625225533,10147.708014333533,10078.638642348025,22224.277558828864,9992.264704474297,232423.38920130415,9688.237562748542,32371.985573162397,264795.37477446656
2020-07-05,1297930.3295852905,10209.957954833899,10140.295640242617,22479.71281601896,10078.045699742252,242245.9996438563,9822.610442552155,32689.67077085286,274935.6704147092
2020-07-06,1287752.9983044679,10247.420930821343,10177.331280822667,22684.074273996877,10139.868304835223,252181.50649071363,9935.506846857306,32931.49520481822,285113.0016955318
2020-07-07,1277563.673603033,10259.67152848439,10189.324701434987,22835.318550293785,10177.07410377194,262207.33631818864,10025.829827475034,33094.99007877817,295302.3263969668
2020-07-08,1267387.5727956588,10246.531732723126,10176.100807374174,22931.88289624246,10189.240603135439,272300.0125753754,10092.676257186764,33178.414628965584,305478.427204341
2020-07-09,1257249.8378694358,10208.075649076458,10137.734926222955,22972.71846844879,10176.191009869623,282435.36801303865,10135.355437663291,33180.79411752525,315616.16213056387
2020-07-10,1247175.2856959787,10144.628901742322,10074.552173457165,22957.31358456376,10137.9989207913,292588.77181771497,10153.403804676334,33101.942486306085,325690.71430402104
2020-07-11,1237188.164173195,10056.762699783147,9987.121522783693,22885.706102701246,10074.987724742869,302735.36702432035,10146.59520660538,32942.46880248439,335677.83582680475
2020-07-12,1227311.9194053959,9945.28275804989,9876.244767799028,22758.484436382976,9987.724709532284,312850.3134001709,10114.946375850555,32703.76719443287,345554.0805946037
2020-07-13,1217568.9786596734,9811.213444859326,9742.940745722542,22576.77711788153,9877.010058913107,322909.03077758546,10058.717377414552,32387.99056274086,355297.0213403263
2020-07-14,1207980.5533006634,9655.777694783941,9588.425359009932,22342.231230822326,9743.861109085317,332887.43777372997,9978.406996144524,31998.008925606267,364885.44669933623
2020-07-15,1198566.4652328365,9480.373363230206,9414.08806782681,22056.980425755824,9589.492399380544,342762.180978177,9874.743204447046,31537.35378898603,374299.53476716304
2020-07-16,1189344.9996038815,9286.546803023099,9221.465628955093,21723.603588998307,9415.2921891622,352510.8500040967,9748.669025919718,31010.150392021405,383521.0003961181
2020-07-17,1180332.7856833593,9075.96450774299,9012.213920522203,21345.075536854303,9222.796215802311,362112.174272043,9601.324267946315,30421.040044597292,392533.2143166403
2020-07-18,1171544.7069678472,8850.383690572813,8788.078715511978,20924.711339839203,9013.659532682155,371546.19800174027,9434.023729697254,29775.095030412016,401321.2930321523
2020-07-19,1162993.8407163068,8611.622652102593,8550.866251540478,20466.10603511061,8789.627290010698,380794.43059647956,9248.232594739291,29077.728687213203,409872.1592836928
2020-07-20,1154691.426322845,8361.53173951506,8302.414393461664,19973.07155581838,8552.505306049197,389839.970381821,9045.539785341429,28334.60329533344,418174.57367715443
2020-07-21,1146646.8612183,8101.96561840298,8044.56510454504,19449.572694751485,8304.13122565712,398667.600468545,8827.630086724017,27551.538313154466,426219.13878169947
2020-07-22,1138867.722380177,7834.75747406718,7779.138838123012,18899.663832720627,8046.346982458812,407263.85631303466,8596.25584448967,26734.421306787808,433998.2776198225
2020-07-23,1131359.8110378475,7561.695639151173,7507.911342329276,18327.42800991643,7780.973177245282,415617.06531308417,8353.209000049479,25889.123649067606,441506.18896215176
2020-07-24,1124127.2177943378,7284.503016604699,7232.593243509728,17736.919714383042,7509.785866056202,423717.35947467375,8100.294161589592,25021.422730987742,448738.78220566147
2020-07-25,1117172.4051480568,7004.819538484249,6954.812646280899,17132.11252086862,7234.496124401348,431556.6627925895,7839.303317915769,24136.93205935287,455693.5948519424
2020-07-26,1110496.3042817316,6724.187778330969,6676.100866325244,16516.85245129613,6956.732626478524,439128.65548864054,7571.992696051016,23241.0402296271,462369.69571826764
2020-07-27,1104098.4229808045,6444.041722937968,6397.881300927077,15894.817659960781,6678.027356320078,446428.71763629594,7300.062147655427,22338.85938289875,468767.5770191947
2020-07-28,1097976.9616351214,6165.698611980803,6121.461345682978,15269.484785773755,6399.804456640143,453453.85496712313,7025.13733082717,21435.183397754558,474889.0383648777
2020-07-29,1092128.9344490275,5890.353673589936,5848.027186093829,14644.10207167659,6123.3721244846965,460202.60980570497,6748.754838581861,20534.455745266525,480737.0655509715
2020-07-30,1086550.2932181403,5619.077521533704,5578.641230887192,14021.669136357064,5849.917382943424,466674.9601239679,6472.35031826295,19640.74665789077,486315.7067818587
2020-07-31,1081236.0513083206,5352.8159351527465,5314.24190981964,13404.923101443994,5580.5034962005975,472872.20965508156,6197.249531113667,18757.73903659674,491629.9486916783
2020-08-01,1076180.4057769785,5092.391715514635,5055.6455313420975,12796.330631602345,5316.069750980209,478796.8718759034,5924.662220821859,17888.72234711698,496685.59422302037
2020-08-02,1071376.8558938047,4838.508298729928,4803.549883173712,12198.085336132404,5057.4332999584185,484452.55047133175,5655.678595428359,17036.593634862333,501489.1441061941
2020-08-03,1066818.3166344268,4591.754807832943,4558.539259377809,11612.109907512551,4805.292750274794,489843.8186502264,5391.2681788946475,16203.864715345495,506047.6833655719
2020-08-04,1062497.2260258268,4352.612235700238,4321.090608600062,11040.062331956622,4560.233180732767,494976.0994065151,5132.280756288697,15392.67456765686,510368.77397417196
2020-08-05,1058405.6455085194,4121.460470734274,4091.5805173074586,10483.3454955241,4322.732282273422,499855.548525221,4879.449118705946,14604.805966258373,514460.3544914794
