,S,E,E_delta,I,I_delta,R,E+I
2020-03-12,212559357.0,52.0,0.0,0.0,0.0,0.0,52.0
2020-03-13,212559357.0,0.0062946156354186655,0.0,51.99370538436458,51.99370538436458,0.0,52.0
2020-03-14,212559312.98809183,44.011908935364765,44.01190817339965,40.86707440295562,0.006293853670303326,11.132924835079264,84.87898333832038
2020-03-15,212559278.39472055,34.598698914298005,34.59337125948783,76.12317205872678,44.00658128055459,19.8834084598627,110.72187097302478
2020-03-16,212559213.95759696,64.441311769033,64.43712358612625,94.41814140385512,34.59451073139125,36.18294984612561,158.85945317288812
2020-03-17,212559134.03408042,79.93131719239932,79.9235165522334,138.63478082591934,64.43351112886708,56.39982155292848,218.56609801831866
2020-03-18,212559016.68189713,117.36185897791454,117.35218326793456,188.8718560122274,79.92164148241935,86.08438784903974,306.23371499014195
2020-03-19,212558856.80490023,159.89120358621796,159.8769968979002,265.7781479313367,117.34765228959677,126.52574821952717,425.6693515175547
2020-03-20,212558631.8281299,224.99612520891282,224.97677033064244,368.74141276643843,159.87184870794758,183.43433209237304,593.7375379753512
2020-03-21,212558319.69500318,312.16036256458926,312.1331267159806,514.755159353937,224.9688893603042,262.3894748651786,826.9155219185262
2020-03-22,212557883.96444544,435.7683448341154,435.73055772836625,716.6580369629685,312.1225754588401,372.60917271498715,1152.4263817970839
2020-03-23,212557277.328144,606.6890513218293,606.6363014326598,998.9223631633048,435.7155949449459,526.0604414595967,1605.611414485134
2020-03-24,212556779.93706167,497.4645222329753,497.39108234089286,1391.6480911357153,606.6156114297469,739.9503249169331,1889.1126133686905
2020-03-25,212556086.99859512,692.998684779333,692.9384665493385,1591.0718322808987,497.40430400298084,1037.9308877747308,2284.0705170602314
2020-03-26,212555294.76434535,792.3181374618872,792.234249762723,1943.3053298643445,692.9147970801688,1378.6121872714536,2735.6234673262315
2020-03-27,212554327.14788038,967.7123753267286,967.6164649779538,2319.4257998694784,792.2222271131124,1794.7139443794322,3287.138175196207
2020-03-28,212553172.2576313,1155.0073909534904,1154.8902490794842,2790.3841250733876,967.5952334527225,2291.3508526282453,3945.391516026878
2020-03-29,212551782.87500572,1389.5224395733414,1389.3826255813776,3347.7729015572268,1154.8675769615265,2888.829653105933,4737.295341130568
2020-03-30,212550115.96934283,1667.0738649971136,1666.905662888,4020.299903831564,1389.354237464228,3605.6568882958245,5687.373768828677
2020-03-31,212548114.21823305,2001.9529095771707,2001.7511097845552,4826.34282995161,1666.872065204498,4466.486027380276,6828.29573952878
2020-04-01,212545711.152203,2403.3083670620035,2403.06603006035,5794.633846121882,2001.7105725755168,5499.90558378552,8197.942213183886
2020-04-02,212542826.00069007,2885.4424341122276,2885.151512911765,6956.900655367306,2403.017445861541,6740.656220401637,9842.343089479535
2020-04-03,212539362.20288587,3464.14708786629,3463.797804192043,8352.377870399985,2885.0931504379805,8230.272155806939,11816.524958266275
2020-04-04,212535203.6733805,4158.948841425005,4158.529505378416,10027.6892295441,3463.7277518197,10018.688548482523,14186.638070969104
2020-04-05,212530211.1279915,4993.048831008491,4992.545389000719,12038.99951641712,4158.445399417234,12165.823661026738,17032.04834742561
2020-04-06,212524217.34036514,5994.392036428085,5993.787626365775,14453.645803627436,4992.444420946182,14743.621794762603,20448.03784005552
2020-04-07,212517021.58958426,7196.476403841921,7195.750780883511,17352.488504589943,5993.666413469675,17838.44550726977,24548.964908431863
2020-04-08,212508382.94182092,8639.518898964508,8638.64776333198,20832.568041462044,7195.605268209391,21553.97123860706,29472.086940426554
2020-04-09,212498012.21592617,10371.771711116438,10370.725894755979,25010.35857773201,8638.473082604049,26014.65378494114,35382.13028884845
2020-04-10,212485562.33865187,12451.132780377278,12449.877274293052,30025.64110426587,10370.516205032212,31369.887463439492,42476.773884643146
2020-04-11,212470616.78541294,14947.060452283382,14945.553238916496,36046.15754993674,12449.625567010393,37798.996584779015,50993.21800222012
2020-04-12,212452675.72389403,17942.870865070345,17941.061518908296,43273.18277409298,14945.251106121334,45517.22246674411,61216.05363916332
2020-04-13,212431139.41238505,21538.48349890642,21536.31150899312,51948.20058964436,17940.698875157046,54782.90352634978,73486.68408855077
2020-04-14,212405288.3159641,25853.703660846983,25851.096420943224,62360.89552877812,21535.87625900266,65906.08484621867,88214.5991896251
