,S,E,E_delta,I,I_delta,R,E+I
2020-01-05,1439323715.0,59.0,0.0,0.0,0.0,0.0,59.0
2020-01-06,1439323715.0,33.7601873672443,0.0,25.2398126327557,25.2398126327557,0.0,59.0
2020-01-07,1439323696.2491019,38.06869888507327,18.750898019455615,26.76519095931404,14.442386501626645,12.917008175068307,64.8338898443873
2020-01-08,1439323676.364986,41.66727534096733,19.884115897115166,29.353077590702174,16.285539441221104,26.614660984901278,71.0203529316695
2020-01-09,1439323654.5583045,45.64896980000162,21.80668128146577,32.156005861460564,17.82498682243148,41.63671953657437,77.80497566146218
2020-01-10,1439323630.6693015,50.00964329330833,23.889003063312877,35.227819028845516,19.528329570006175,58.093235939195594,85.23746232215385
2020-01-11,1439323604.4982197,54.78692812526785,26.171081892197655,38.5930343002123,21.393797060238136,76.12181772806694,93.37996242548016
2020-01-12,1439323575.8270879,60.020571789950246,28.671131810547042,42.279720536019084,23.437488145864645,95.8726196381248,102.30029232596934
2020-01-13,1439323544.4170825,65.75417065856074,31.410005412495355,46.31858548046239,25.67640654388486,117.51016123756636,112.07275613902313
2020-01-14,1439323510.0065668,72.0354839006181,34.410515737723735,50.743271781255146,28.129202495666366,141.21467743243997,122.77875568187325
2020-01-15,1439323472.3089106,78.91683302632616,37.6976561860723,55.59063580843876,30.81630706036425,167.1836204656206,134.50746883476492
2020-01-16,1439323431.010103,86.45553764292825,41.29880765312648,60.90105470337174,33.76010303652439,195.633304607212,147.35659234629998
2020-01-17,1439323404.396005,76.08452428946282,26.614098022325535,66.71876270260891,36.98511137579096,226.8007079837658,142.80328699207172
2020-01-18,1439323375.2395368,72.69253241762522,29.156468082711406,65.12248411256164,32.54845995454901,260.9454465283621,137.81501653018685
2020-01-19,1439323346.7806518,70.05402925465575,28.45888493908782,62.892063014837504,31.09738810205729,294.2732557281435,132.94609226949325
2020-01-20,1439323319.2964737,67.56955354975794,27.484178067256387,60.67437277842798,29.968653772154195,326.4595997367072,128.24392632818592
2020-01-21,1439323292.781439,65.1787768805741,26.51503470835588,58.52879005096606,28.905811377539717,357.51099384170885,123.70756693154016
2020-01-22,1439323267.2040362,62.873126846557994,25.57740278120219,56.45849612128648,27.883052815218296,387.46434058660674,119.33162296784448
2020-01-23,1439323242.5313637,60.649088500331445,24.6726725222922,54.46137696967733,26.896710868518745,416.35817060673463,115.11046547000878
2020-01-24,1439323218.7314436,58.50372672366565,23.79992008936444,52.53489679933493,25.94528186603024,444.2299326431073,111.03862352300058
2020-01-25,1439323195.7734063,56.43425386176243,22.958037321541923,50.67656193681826,25.027510183445145,471.1157776890691,107.11081579858069
2020-01-26,1439323173.6274717,54.43798504778669,22.145934466367542,48.883962358414315,24.14220328034328,497.0505805478163,103.321947406201
2020-01-27,1439323152.2649133,52.5123307865008,21.36255832703432,47.15477285263552,23.28821258832021,522.0679826419154,99.66710363913631
2020-01-28,1439323131.6580205,50.654793218570575,20.6068927703845,45.48675041511201,22.464430338314727,546.2004354177536,96.14154363368259
2020-01-29,1439323111.780063,48.86296284451288,19.87795758844579,43.8777313785976,21.66978796250348,569.4792424167715,92.74069422311048
2020-01-30,1439323092.6052556,47.13451539589764,19.174807244212023,42.32562861028209,20.903254692827264,591.9345998779143,89.46014400617972
2020-01-31,1439323074.108726,45.467208820224144,18.49652964683829,40.82842880495916,20.163836222511783,613.595635905749,86.2956376251833
2020-02-01,1439323056.2664812,43.858880372733104,17.842244968726497,39.38418987362275,19.450573416217537,634.4904482533029,83.24307024635586
2020-02-02,1439323039.0553768,42.30744381111165,17.21110450431465,37.99103842440073,18.7625410659361,654.646140768461,80.29848223551238
2020-02-03,1439323022.453087,40.81088668942735,16.602289569219053,36.647167332587316,18.098846690903354,674.0888585511777,77.45805402201466
2020-02-04,1439323006.4380767,39.367267747779074,16.015010438313926,35.35083339662559,17.4586293799622,692.8438218671017,74.71810114440467
2020-02-05,1439322990.9895713,37.974714394279204,15.44850532137251,34.10035507700026,16.84105867487238,710.9353588615994,72.07506947127946
2020-02-06,1439322976.087532,36.63142027610141,14.902039374941152,32.89411031510848,16.24533349311895,728.3869371166102,69.52553059120989
2020-02-07,1439322961.7126284,35.33564293644383,14.374903749164927,31.730534429279864,15.670681088822501,745.2211940912613,67.06617736572369
2020-02-08,1439322947.8462136,34.08570155436894,13.86641466832849,30.608118085216976,15.116356050403386,761.4599664857276,64.69381963958591
2020-02-09,1439322934.4703012,32.879974764588624,13.375912543919714,29.525405338224182,14.58163933370003,777.1243185664205,62.405380102812806
