,S,E,E_delta,I,I_delta,R,E+I
2020-03-12,199999948.0,52.0,0.0,0.0,0.0,0.0,52.0
2020-03-13,199999948.0,3.6521619430294834,0.0,48.34783805697052,48.34783805697052,0.0,52.0
2020-03-14,199999900.8588255,47.39768001601466,47.14117449951249,49.1711935808244,3.3956564265273124,2.572300902673426,96.56887359683907
2020-03-15,199999852.91485605,51.272892583269,47.94396944591558,90.62384370649198,44.06875687866124,5.188407655667085,141.89673628976098
2020-03-16,199999764.5528409,91.96310951646927,88.36201515105286,133.47408620772165,47.67179821785258,10.009963372289993,225.43719572419093
2020-03-17,199999634.41011536,136.60165184155684,130.14272551965874,211.87690714425213,85.50418319457117,17.11132563033067,348.47855898580895
2020-03-18,199999565.54725963,163.12864512778768,68.86285573206582,242.9400595495554,42.33586244583499,28.384035670862396,406.0687046773431
2020-03-19,199999486.58848712,191.53025535224734,78.9587725135064,280.57182621411755,50.55716228904674,41.309431295347004,472.10208156636486
2020-03-20,199999395.39892253,223.3603727139648,91.18956459749097,325.00371534512374,59.359447235773494,56.23698940011428,548.3640880590885
2020-03-21,199999289.76845285,259.76654028928186,105.63046967992827,376.93650279360133,69.2243021046112,73.52850405624787,636.7030430828831
2020-03-22,199999167.25921088,301.7684064623719,122.50924195851125,437.38932918543793,80.5073757854212,93.58305344983248,739.1577356478099
2020-03-23,199999025.10210502,350.40083255446723,142.15710587640822,507.6431242415098,93.5246797843129,116.85393817807352,858.043956795977
2020-03-24,199998860.11173773,406.79425940138185,164.99036727878013,589.2313933614607,108.59694043186553,143.86260948998813,996.0256527628426
2020-03-25,199998668.6043201,472.22717077790236,191.50741763320812,683.9564017721183,126.0745062566876,175.21210733601816,1156.1835725500207
2020-03-26,199998446.31032774,548.1675555833824,222.29399236234784,793.9207571850832,146.35360755686784,211.60135947992114,1342.0883127684656
2020-03-27,199998188.27689445,636.3117824375412,258.03343329922774,921.570162174047,169.88920644506896,253.8411609360263,1557.881944611588
2020-03-28,199997888.7563138,738.6253181335242,299.5205806384989,1069.7459400463817,197.207044942516,302.8724280062076,1808.371258179906
2020-03-29,199997541.0774735,857.3878939149774,347.6788403064401,1241.7473856715023,228.9162645249869,359.7872469060739,2099.1352795864796
2020-03-30,199997137.4970304,995.244932859877,403.5804430923891,1441.404797017176,265.7234041474894,425.85323970788977,2436.649729877053
2020-03-31,199996669.02685726,1155.2667672919804,468.47017315601255,1673.1645595918042,308.44833872390916,502.5418158571707,2828.4313268837845
2020-04-01,199996125.23384607,1341.0171465817434,543.7930111976638,1942.1880568304832,358.0426319079007,591.5609505263925,3283.2052034122266
2020-04-02,199995494.00757846,1556.6326460271366,631.2262676156165,2254.46655012505,415.61076817022325,694.8932254020489,3811.099196152187
2020-04-03,199994761.29067734,1806.9147837845553,732.7169011184027,2616.9545573332507,482.43476336098405,814.8399815548324,4423.8693411178065
2020-04-04,199993910.76583433,2097.436913003316,850.5248429954373,3037.724684077773,560.0027137766767,954.0725685869869,5135.161597081089
2020-04-05,199992923.4925494,2434.6682735576696,987.2732849427925,3526.1473456210133,650.0419243884389,1115.6918314321854,5960.815619178683
2020-04-06,199991777.48550472,2826.1179630296624,1146.0070446797506,4093.0993731735307,754.5573552077577,1303.2971590874254,6919.217336203194
2020-04-07,199990779.79027727,3166.9060096658786,997.6952274364734,4532.237081015352,656.9071808002573,1521.0666320458618,7699.14309068123
