,S,E,E_delta,I,I_delta,R,E+I
2020-02-23,60461749.0,79.0,0.0,0.0,0.0,0.0,79.0
2020-02-24,60461749.0,41.088599759599155,0.0,37.911400240400845,37.911400240400845,0.0,79.0
2020-02-25,60461718.04641038,52.32413430584111,30.9535896197078,49.94398377905815,19.71805507346584,7.685471534808534,102.26811808489927
2020-02-26,60461677.26857636,67.99207974348278,40.7778340186699,64.92913248672654,25.10988858102824,17.81021140816838,132.92121223020933
2020-02-27,60461624.25583285,88.37602643669692,53.01274350754865,84.39537143344712,32.628796814334514,30.972769275782312,172.77139787014403
2020-02-28,60461555.349533245,114.87145376415347,68.9062996046447,109.69745266866943,42.41087227718814,48.08156031774814,224.5689064328229
2020-02-29,60461465.78494225,149.31025160309332,89.56459100159202,142.5851685094603,55.12579316265219,70.31963763960945,291.8954201125536
2020-03-01,60461349.368716784,194.07380987124895,116.4162254646091,185.33269775488804,71.65266719645345,99.22477559063515,379.406507626137
2020-03-02,60461198.050793536,252.25743081096132,151.3179232461475,240.89600125799842,93.13430230643513,136.7957743939599,493.1534320689598
2020-03-03,60461001.36779134,327.884326386834,196.68300219725973,313.11720996536496,121.05610662138707,185.6306723079804,641.001536352199
2020-03-04,60460745.71957702,426.18375677580264,255.64821431562035,406.99027447812375,157.34878392665175,249.1063917218734,833.1740312539264
2020-03-05,60460413.429004475,553.9525194598926,332.2905725459267,529.0062378238451,204.52180986183672,331.6122382379888,1082.9587572837377
2020-03-06,60460159.36480432,542.1798122784306,254.06420015299906,687.6019892856544,265.8369073344611,438.8533941106406,1229.781801564085
2020-03-07,60459829.13369768,612.2236294796679,330.2311066386168,808.397288914621,260.1872894373795,578.2453839190536,1420.6209183942888
2020-03-08,60459440.89096807,706.6656622089839,388.2427296132978,938.3181419159486,293.8006968839818,742.1252278017078,1644.9838041249325
2020-03-09,60458990.25504643,818.1789919996713,450.63592164072156,1087.2230861834355,339.1225918500341,932.3428753842547,1905.4020781831068
2020-03-10,60458468.110047,947.6871403691603,522.1449994326188,1259.455994689335,392.6368510631299,1152.7468179414852,2207.1431350584953
2020-03-11,60457863.254448764,1097.7560742842995,604.8555982343313,1458.923331968379,454.786664319192,1408.0661449816334,2556.6794062526787
2020-03-12,60457162.61137737,1271.595729239188,700.6430713918919,1689.9710214153197,526.8034164370035,1703.8218719716963,2961.566750654508
2020-03-13,60456351.017828226,1472.9617513562698,811.593549144566,1957.6043921368162,610.227527027484,2046.4160282776838,3430.566143493086
