,S,E,E_delta,I,I_delta,R,E+I
2020-02-20,51269103.0,80.0,0.0,0.0,0.0,0.0,80.0
2020-02-21,51269103.0,0.21882882269635218,0.0,79.78117117730365,79.78117117730365,0.0,80.0
2020-02-22,51269066.13237227,36.86822631074097,36.86762773507044,56.704272284880425,0.21823024702581878,23.295129139449042,93.5724985956214
2020-02-23,51269039.928814866,26.30440528056158,26.203557398580553,76.91469465317891,36.76737842875995,39.852085199910505,103.2190999337405
2020-02-24,51269004.385856554,35.61491033955144,35.54295831406053,80.68899496029171,26.232453255070666,62.310238147868375,116.30390529984315
2020-02-25,51268967.09878665,37.38448951357105,37.287069902320546,92.6462830744315,35.51749072830094,85.87044076202953,130.03077258800255
2020-02-26,51268924.28618349,42.91486320991666,42.81260316207467,102.8769276027511,37.28222946572906,112.92202569943899,145.79179081266776
2020-02-27,51268876.745955735,47.657615367621396,47.540227755216385,115.63559481213008,42.79747559751165,142.96083408757164,163.29321017975147
2020-02-28,51268823.30989826,53.566418225390954,53.4360574770983,129.3986657962116,47.527254619328744,176.72501772281888,182.96508402160254
2020-02-29,51268763.513886936,59.94253477058675,59.79601131763272,145.03572803168157,53.419894772436926,214.5078502597858,204.97826280226832
2020-03-01,51268696.491960034,67.18589132804902,67.02192689913299,162.4656343405386,59.778570341670715,256.8565142925995,229.65152566858762
2020-03-02,51268621.41566137,75.2600762774329,75.07629865866888,182.0297639135112,67.002113709285,304.2944984289119,257.2898401909441
2020-03-03,51268571.93514865,49.68637614706196,49.48051272346411,203.93350535893723,75.05421285383505,357.4449698373209,253.6198815059992
2020-03-04,51268516.50067216,55.57038662837411,55.43447648842024,193.93787454779698,49.550466007108085,416.9910666555692,249.5082611761711
2020-03-05,51268463.78332734,52.869349848803644,52.71734482027029,192.72876164043205,55.41838159984076,473.6185611627749,245.5981114892357
2020-03-06,51268411.39470464,52.53323941973693,52.38862269993524,189.1790464873664,52.724733129001955,529.8930094448425,241.71228590710334
2020-03-07,51268359.97103815,51.567363827521405,51.42366649083832,186.33061382814503,52.38954208305385,585.1309841871177,237.89797765566644
2020-03-08,51268309.321698755,50.790394712632335,50.6493393936832,183.35065519740672,51.42630850857227,639.5372513264283,234.14104991003904
2020-03-09,51268259.48243618,49.97819260533502,49.83926257684441,180.46596432506976,50.65146468414173,693.073406882907,230.44415693040477
2020-03-10,51268210.42735193,49.1917926163453,49.05508425324134,177.61358756988716,49.841484242231054,745.7672678803207,226.80538018623247
2020-03-11,51268162.14765997,48.41424923111872,48.27969195531175,174.8098211439032,49.057235340538334,797.628269646843,223.22407037502194
2020-03-12,51268114.630144656,47.649945731154396,47.51751531664223,172.04930380150273,48.28181881660655,848.6706058058501,219.69924953265712
2020-03-13,51268067.86304772,46.897436708141775,46.76709693906811,169.33261100706073,47.51960596208073,898.9069045623728,216.23004771520252
2020-03-14,51268021.83445455,46.15687455643238,46.02859317065339,166.65870874177372,46.769155322362785,948.3499621500226,212.8155832982061
2020-03-15,51267976.53273169,45.427978546904455,45.30172286542287,164.02701688521822,46.03061887495079,997.0122728815289,209.45499543212267
2020-03-16,51267931.94640343,44.71059014868981,44.58632826040363,161.43684474383397,45.30371665861828,1044.9061616815316,206.1474348925238
2020-03-17,51267888.06418189,44.0045211111999,43.88222153864619,158.88754520092894,44.5882905761361,1092.0437518005726,202.89206631212883
2020-03-18,51267844.874955155,43.30959495012703,43.18922673077602,156.3784723543389,43.88415289184889,1138.4369775390117,199.68806730446593
2020-03-19,51267802.36778696,42.62563554576807,42.50716819983817,153.90899289589595,43.19112760419713,1184.0975846016518,196.534628441664
2020-03-20,51267760.53191322,41.95247020496704,41.835873734427494,151.47848279774252,42.50903907522852,1229.0371337750337,193.43095300270954
2020-03-21,51267719.35673957,41.28992876868297,41.17517364788101,149.08632801976802,41.83771508416508,1273.2670036371733,190.37625678845097
2020-03-22,51267678.8318386,40.63784380177691,40.524900970506074,146.73192412049195,41.176985937412134,1316.7983934738616,187.36976792226886
2020-03-23,51267638.946947254,39.996050487693225,39.88489134374246,144.41467617083214,40.526684657826145,1359.6423260813474,184.41072665852536
2020-03-24,51267599.69196426,39.364386604666706,39.25498299665764,142.1339985880209,39.88664687968416,1401.8096505438427,181.49838519268758
2020-03-25,51267561.05694756,38.7426924804493,38.63501670073851,139.8893149942879,39.25671082495592,1443.3110449625317,178.6320074747372
2020-03-26,51267523.03211183,38.130810953712086,38.02483573141729,137.68005807165656,38.636717258154505,1484.1570191433175,175.81086902536865
2020-03-27,51267485.607826,37.52858733441116,37.424285828542935,135.50566942064552,38.026509447843864,1524.3579172421723,173.03425675505667
2020-03-28,51267448.77461085,36.93586936521394,36.83321515791586,133.36559942070207,37.425933127113076,1563.9239203692289,170.301468785916
2020-03-29,51267412.52313657,36.352507183401045,36.251474273295344,131.2593070929189,36.83483645510824,1602.8650491521203,167.61181427631993
2020-03-30,51267376.84422049,35.7783532833918,35.67891607902925,129.18625996484218,36.25306997903849,1641.1911662592354,164.96461324823397
2020-03-31,51267341.7288247,35.213262479841774,35.11539579325404,127.14593393738184,35.680486596804066,1678.9119788834998,162.35919641722361
2020-04-01,51267307.16805378,34.657091871314776,34.56077091166776,125.13781315378117,35.11694152019476,1716.0370411872952,159.79490502509594
2020-04-02,51267254.599570155,52.66328326189858,52.56848362924509,123.16138987061676,34.562292238661286,1752.575756709121,175.82467313251533
2020-04-03,51267202.86140481,51.88221840305524,51.73816534961117,139.71899605560435,52.51923020845451,1788.5373807325877,191.6012144586596
2020-04-04,51267144.167708404,58.83561295911805,58.69369639946786,150.66305477146554,51.74030184340505,1829.3336238601316,209.49866773058358
2020-04-05,51267080.87666194,63.45198306411752,63.29104646516175,165.34595630990614,58.67467636016228,1873.3253986818534,228.79793937402366
2020-04-06,51267011.4176582,69.63256777097872,69.45900373658286,180.34537231064343,63.278419029721654,1921.6044017108377,249.97794008162214
2020-04-07,51266935.6577594,75.95036896362528,75.75989880329219,197.12882032159985,69.44209761064563,1974.2630513105269,273.07918928522514
2020-04-08,51266852.84755352,83.01795749618888,82.81020587339309,215.3122258993749,75.74261734082948,2031.8222630735813,298.3301833955638
2020-04-09,51266762.398978196,90.6756593475686,90.44857532379926,235.23455490681863,82.79087347241955,2094.6908075385572,325.91021425438726
2020-04-10,51266663.58158531,99.06542348638706,98.81739288910902,256.97656205302235,90.42762875029055,2163.376429142644,356.04198553940944
2020-04-11,51266555.63101249,108.22155244330183,107.95057281840882,280.7369833437899,98.79444386149405,2238.4104517133705,388.95853578709176
2020-04-12,51266437.69942329,118.22761413416839,117.93158919777416,306.69073499547665,107.9255275069076,2320.3822275685916,424.91834912964504
2020-04-13,51266308.8655157,129.15730271146418,128.83390759132445,335.04499914967204,117.90421901402867,2409.9321824284248,464.2023018611362
2020-04-14,51266168.1209706,141.09783685907837,140.74454510289104,366.0199558614012,128.80401095527685,2507.7612366719723,507.11779272047954
2020-04-15,51266014.36499487,154.1419291503417,153.75597573128078,399.8584754038426,140.71188344001746,2614.634600569548,554.0004045541843
2020-04-16,51265846.394793615,168.39183496568657,167.97020125463516,436.82497186298446,153.72029543929028,2731.3883995496967,605.216806828671
2020-04-17,51265662.896524735,183.95888121468445,183.4982688772192,477.20862931107365,167.93122262822132,2858.935964729829,661.1675105257581
2020-04-18,51265462.43489919,200.96481936479265,200.46162554728332,521.3252159879097,183.45568739717513,2998.275065450168,722.2900353527024
2020-04-19,51265243.44202024,219.54259013438653,218.99287894907425,569.5197180910484,200.41510817948037,3150.4956715265093,789.0623082254349
2020-04-20,51265004.20511766,239.83743065815403,239.23690257651884,622.1689671327039,218.94206205275134,3316.788484537605,862.0063977908579
